"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CANTA (000)",3746,47,1432,1241,369,149,80,20,2,,406
"Catolica (001)",3273,34,1226,1111,322,131,68,20,2,,359
"Cristiana / Evangelica (002)",336,8,147,93,29,15,5,,,,39
"Otra (003)",94,2,40,24,15,3,4,,,,6
"Ninguna (004)",43,3,19,13,3,,3,,,,2
,,,,,,,,,,,
"URBANA (006)",1916,21,657,648,209,88,52,13,2,,226
"Catolica (007)",1771,16,610,607,191,79,46,13,2,,207
"Cristiana / Evangelica (008)",120,4,40,34,15,8,4,,,,15
"Otra (009)",14,,2,5,2,1,2,,,,2
"Ninguna (010)",11,1,5,2,1,,,,,,2
,,,,,,,,,,,
"RURAL (012)",1830,26,775,593,160,61,28,7,,,180
"Catolica (013)",1502,18,616,504,131,52,22,7,,,152
"Cristiana / Evangelica (014)",216,4,107,59,14,7,1,,,,24
"Otra (015)",80,2,38,19,13,2,2,,,,4
"Ninguna (016)",32,2,14,11,2,,3,,,,
