"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANTA (000)",54828,760,18924,12697,9745,8193,4509
"Hombres (001)",27608,369,9837,6522,4738,4078,2064
"Mujeres (002)",27220,391,9087,6175,5007,4115,2445
"Viviendas particulares (003)",54165,756,18691,12459,9644,8122,4493
"Hombres (004)",27197,368,9711,6357,4679,4028,2054
"Mujeres (005)",26968,388,8980,6102,4965,4094,2439
"Viviendas colectivas (006)",439,3,216,158,39,20,3
"Hombres (007)",258,1,116,117,15,8,1
"Mujeres (008)",181,2,100,41,24,12,2
"Otro tipo (009)",224,1,17,80,62,51,13
"Hombres (010)",153,,10,48,44,42,9
"Mujeres (011)",71,1,7,32,18,9,4
,,,,,,,
"URBANA (012)",19386,290,6477,4684,3636,2754,1545
"Hombres (013)",9601,153,3319,2357,1719,1367,686
"Mujeres (014)",9785,137,3158,2327,1917,1387,859
"Viviendas particulares (015)",18847,288,6300,4473,3555,2699,1532
"Hombres (016)",9255,153,3226,2208,1667,1324,677
"Mujeres (017)",9592,135,3074,2265,1888,1375,855
"Viviendas colectivas (018)",323,1,165,131,21,4,1
"Hombres (019)",194,,84,101,8,1,
"Mujeres (020)",129,1,81,30,13,3,1
"Otro tipo (021)",216,1,12,80,60,51,12
"Hombres (022)",152,,9,48,44,42,9
"Mujeres (023)",64,1,3,32,16,9,3
,,,,,,,
"RURAL (024)",35442,470,12447,8013,6109,5439,2964
"Hombres (025)",18007,216,6518,4165,3019,2711,1378
"Mujeres (026)",17435,254,5929,3848,3090,2728,1586
"Viviendas particulares (027)",35318,468,12391,7986,6089,5423,2961
"Hombres (028)",17942,215,6485,4149,3012,2704,1377
"Mujeres (029)",17376,253,5906,3837,3077,2719,1584
"Viviendas colectivas (030)",116,2,51,27,18,16,2
"Hombres (031)",64,1,32,16,7,7,1
"Mujeres (032)",52,1,19,11,11,9,1
"Otro tipo (033)",8,,5,,2,,1
"Hombres (034)",1,,1,,,,
"Mujeres (035)",7,,4,,2,,1
