"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BELLAVISTA (000)",34901,3938,2325,1220,27476
"Conviviente (001)",13036,978,683,315,11075
"Separado(a) (002)",742,32,45,21,645
"Casado(a) (003)",8999,492,897,366,7271
"Viudo(a) (004)",850,29,38,30,754
"Divorciado(a) (005)",77,3,7,4,63
"Soltero(a) (006)",11197,2404,655,484,7668
"Hombres (008)",19021,1882,1170,756,15250
"Conviviente (009)",6508,318,317,171,5711
"Separado(a) (010)",340,12,18,10,301
"Casado(a) (011)",4545,193,466,213,3691
"Viudo(a) (012)",255,7,8,6,234
"Divorciado(a) (013)",52,2,4,3,43
"Soltero(a) (014)",7321,1350,357,353,5270
"Mujeres (016)",15880,2056,1155,464,12226
"Conviviente (017)",6528,660,366,144,5364
"Separado(a) (018)",402,20,27,11,344
"Casado(a) (019)",4454,299,431,153,3580
"Viudo(a) (020)",595,22,30,24,520
"Divorciado(a) (021)",25,1,3,1,20
"Soltero(a) (022)",3876,1054,298,131,2398
,,,,,
"URBANA (024)",20033,2451,1998,974,14655
"Conviviente (025)",7066,605,557,227,5689
"Separado(a) (026)",464,23,39,18,385
"Casado(a) (027)",5109,312,779,279,3762
"Viudo(a) (028)",518,24,34,18,443
"Divorciado(a) (029)",44,3,7,3,31
"Soltero(a) (030)",6832,1484,582,429,4345
"Hombres (032)",10659,1167,997,621,7903
"Conviviente (033)",3492,207,259,126,2906
"Separado(a) (034)",172,6,15,8,144
"Casado(a) (035)",2571,126,403,165,1892
"Viudo(a) (036)",137,4,7,2,124
"Divorciado(a) (037)",29,2,4,2,21
"Soltero(a) (038)",4258,822,309,318,2816
"Mujeres (040)",9374,1284,1001,353,6752
"Conviviente (041)",3574,398,298,101,2783
"Separado(a) (042)",292,17,24,10,241
"Casado(a) (043)",2538,186,376,114,1870
"Viudo(a) (044)",381,20,27,16,319
"Divorciado(a) (045)",15,1,3,1,10
"Soltero(a) (046)",2574,662,273,111,1529
,,,,,
"RURAL (048)",14868,1487,327,246,12821
"Conviviente (049)",5970,373,126,88,5386
"Separado(a) (050)",278,9,6,3,260
"Casado(a) (051)",3890,180,118,87,3509
"Viudo(a) (052)",332,5,4,12,311
"Divorciado(a) (053)",33,,,1,32
"Soltero(a) (054)",4365,920,73,55,3323
"Hombres (056)",8362,715,173,135,7347
"Conviviente (057)",3016,111,58,45,2805
"Separado(a) (058)",168,6,3,2,157
"Casado(a) (059)",1974,67,63,48,1799
"Viudo(a) (060)",118,3,1,4,110
"Divorciado(a) (061)",23,,,1,22
"Soltero(a) (062)",3063,528,48,35,2454
"Mujeres (064)",6506,772,154,111,5474
"Conviviente (065)",2954,262,68,43,2581
"Separado(a) (066)",110,3,3,1,103
"Casado(a) (067)",1916,113,55,39,1710
"Viudo(a) (068)",214,2,3,8,201
"Divorciado(a) (069)",10,,,,10
"Soltero(a) (070)",1302,392,25,20,869
