"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CANGALLO (000)",16389,13302,3087
"De 3 a 5 años (001)",2526,204,2322
"De 6 a 11 años (002)",5382,4763,619
"De 12 a 16 años (003)",4343,4300,43
"De 17 a 24 años (004)",4138,4035,103
"Hombres (005)",8239,6717,1522
"De 3 a 5 años (006)",1245,94,1151
"De 6 a 11 años (007)",2714,2402,312
"De 12 a 16 años (008)",2252,2228,24
"De 17 a 24 años (009)",2028,1993,35
"Mujeres (010)",8150,6585,1565
"De 3 a 5 años (011)",1281,110,1171
"De 6 a 11 años (012)",2668,2361,307
"De 12 a 16 años (013)",2091,2072,19
"De 17 a 24 años (014)",2110,2042,68
,,,
"URBANA (015)",5714,4735,979
"De 3 a 5 años (016)",831,70,761
"De 6 a 11 años (017)",1787,1602,185
"De 12 a 16 años (018)",1641,1632,9
"De 17 a 24 años (019)",1455,1431,24
"Hombres (020)",2896,2418,478
"De 3 a 5 años (021)",408,35,373
"De 6 a 11 años (022)",896,806,90
"De 12 a 16 años (023)",872,866,6
"De 17 a 24 años (024)",720,711,9
"Mujeres (025)",2818,2317,501
"De 3 a 5 años (026)",423,35,388
"De 6 a 11 años (027)",891,796,95
"De 12 a 16 años (028)",769,766,3
"De 17 a 24 años (029)",735,720,15
,,,
"RURAL (030)",10675,8567,2108
"De 3 a 5 años (031)",1695,134,1561
"De 6 a 11 años (032)",3595,3161,434
"De 12 a 16 años (033)",2702,2668,34
"De 17 a 24 años (034)",2683,2604,79
"Hombres (035)",5343,4299,1044
"De 3 a 5 años (036)",837,59,778
"De 6 a 11 años (037)",1818,1596,222
"De 12 a 16 años (038)",1380,1362,18
"De 17 a 24 años (039)",1308,1282,26
"Mujeres (040)",5332,4268,1064
"De 3 a 5 años (041)",858,75,783
"De 6 a 11 años (042)",1777,1565,212
"De 12 a 16 años (043)",1322,1306,16
"De 17 a 24 años (044)",1375,1322,53
