"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia HUALGAYOC (000)",66438,11017,13599,13263,10414,7176,10969
"Católica (001)",48937,8202,10127,9833,7634,5224,7917
"Cristiana/Evangélica (002)",12411,1872,2369,2419,2005,1435,2311
"Otra (003)",1981,344,402,377,301,215,342
"Ninguna (004)",3109,599,701,634,474,302,399
"Hombres (006)",31796,5539,6351,6270,4972,3485,5179
"Católica (007)",24026,4129,4827,4818,3725,2648,3879
"Cristiana/Evangélica (008)",5259,903,965,974,873,587,957
"Otra (009)",896,177,178,164,130,98,149
"Ninguna (010)",1615,330,381,314,244,152,194
"Mujeres (012)",34642,5478,7248,6993,5442,3691,5790
"Católica (013)",24911,4073,5300,5015,3909,2576,4038
"Cristiana/Evangélica (014)",7152,969,1404,1445,1132,848,1354
"Otra (015)",1085,167,224,213,171,117,193
"Ninguna (016)",1494,269,320,320,230,150,205
,,,,,,,
"URBANA (018)",15840,2218,3170,3536,2808,1916,2192
"Católica (019)",11122,1536,2201,2557,2026,1328,1474
"Cristiana/Evangélica (020)",3188,442,605,660,552,426,503
"Otra (021)",800,121,155,147,137,96,144
"Ninguna (022)",730,119,209,172,93,66,71
"Hombres (024)",8133,1134,1559,1822,1507,1031,1080
"Católica (025)",5869,772,1096,1367,1120,750,764
"Cristiana/Evangélica (026)",1477,230,281,287,264,197,218
"Otra (027)",354,58,60,65,65,47,59
"Ninguna (028)",433,74,122,103,58,37,39
"Mujeres (030)",7707,1084,1611,1714,1301,885,1112
"Católica (031)",5253,764,1105,1190,906,578,710
"Cristiana/Evangélica (032)",1711,212,324,373,288,229,285
"Otra (033)",446,63,95,82,72,49,85
"Ninguna (034)",297,45,87,69,35,29,32
,,,,,,,
"RURAL (036)",50598,8799,10429,9727,7606,5260,8777
"Católica (037)",37815,6666,7926,7276,5608,3896,6443
"Cristiana/Evangélica (038)",9223,1430,1764,1759,1453,1009,1808
"Otra (039)",1181,223,247,230,164,119,198
"Ninguna (040)",2379,480,492,462,381,236,328
"Hombres (042)",23663,4405,4792,4448,3465,2454,4099
"Católica (043)",18157,3357,3731,3451,2605,1898,3115
"Cristiana/Evangélica (044)",3782,673,684,687,609,390,739
"Otra (045)",542,119,118,99,65,51,90
"Ninguna (046)",1182,256,259,211,186,115,155
"Mujeres (048)",26935,4394,5637,5279,4141,2806,4678
"Católica (049)",19658,3309,4195,3825,3003,1998,3328
"Cristiana/Evangélica (050)",5441,757,1080,1072,844,619,1069
"Otra (051)",639,104,129,131,99,68,108
"Ninguna (052)",1197,224,233,251,195,121,173
