"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PURUS (000)",3352,809,98,1211,876,110,156,32,60
"Quechua (001)",20,3,,6,4,1,4,,2
"Aymara (002)",6,,,1,,,3,,2
"Ashaninca (003)",78,14,,35,27,2,,,
"Otra lengua nativa (004)",2220,674,74,890,506,50,20,5,1
"Castellano (005)",1011,113,24,271,337,57,129,26,54
"Idioma extranjero (006)",12,1,,7,2,,,1,1
"Es sordomudo/a (007)",5,4,,1,,,,,
"Hombres (009)",1805,322,53,589,592,79,104,23,43
"Quechua (010)",10,1,,2,3,1,2,,1
"Aymara (011)",5,,,,,,3,,2
"Ashaninca (012)",41,5,,17,17,2,,,
"Otra lengua nativa (013)",1114,261,37,407,342,42,20,5,
"Castellano (014)",627,53,16,159,229,34,79,18,39
"Idioma extranjero (015)",6,1,,3,1,,,,1
"Es sordomudo/a (016)",2,1,,1,,,,,
"Mujeres (018)",1547,487,45,622,284,31,52,9,17
"Quechua (019)",10,2,,4,1,,2,,1
"Aymara (020)",1,,,1,,,,,
"Ashaninca (021)",37,9,,18,10,,,,
"Otra lengua nativa (022)",1106,413,37,483,164,8,,,1
"Castellano (023)",384,60,8,112,108,23,50,8,15
"Idioma extranjero (024)",6,,,4,1,,,1,
"Es sordomudo/a (025)",3,3,,,,,,,
,,,,,,,,,
"URBANA (027)",1143,159,33,320,379,74,102,25,51
"Quechua (028)",10,1,,2,1,1,3,,2
"Aymara (029)",2,,,1,,,1,,
"Ashaninca (030)",14,1,,8,3,2,,,
"Otra lengua nativa (031)",334,79,11,111,98,24,7,3,1
"Castellano (032)",775,77,22,192,276,47,91,22,48
"Idioma extranjero (033)",7,,,6,1,,,,
"Es sordomudo/a (034)",1,1,,,,,,,
"Hombres (036)",647,58,22,159,243,50,61,18,36
"Quechua (037)",3,,,,,1,1,,1
"Aymara (038)",1,,,,,,1,,
"Ashaninca (039)",7,,,3,2,2,,,
"Otra lengua nativa (040)",164,22,8,41,61,22,7,3,
"Castellano (041)",469,36,14,112,180,25,52,15,35
"Idioma extranjero (042)",3,,,3,,,,,
"Mujeres (045)",496,101,11,161,136,24,41,7,15
"Quechua (046)",7,1,,2,1,,2,,1
"Aymara (047)",1,,,1,,,,,
"Ashaninca (048)",7,1,,5,1,,,,
"Otra lengua nativa (049)",170,57,3,70,37,2,,,1
"Castellano (050)",306,41,8,80,96,22,39,7,13
"Idioma extranjero (051)",4,,,3,1,,,,
"Es sordomudo/a (052)",1,1,,,,,,,
,,,,,,,,,
"RURAL (054)",2209,650,65,891,497,36,54,7,9
"Quechua (055)",10,2,,4,3,,1,,
"Aymara (056)",4,,,,,,2,,2
"Ashaninca (057)",64,13,,27,24,,,,
"Otra lengua nativa (058)",1886,595,63,779,408,26,13,2,
"Castellano (059)",236,36,2,79,61,10,38,4,6
"Idioma extranjero (060)",5,1,,1,1,,,1,1
"Es sordomudo/a (061)",4,3,,1,,,,,
"Hombres (063)",1158,264,31,430,349,29,43,5,7
"Quechua (064)",7,1,,2,3,,1,,
"Aymara (065)",4,,,,,,2,,2
"Ashaninca (066)",34,5,,14,15,,,,
"Otra lengua nativa (067)",950,239,29,366,281,20,13,2,
"Castellano (068)",158,17,2,47,49,9,27,3,4
"Idioma extranjero (069)",3,1,,,1,,,,1
"Es sordomudo/a (070)",2,1,,1,,,,,
"Mujeres (072)",1051,386,34,461,148,7,11,2,2
"Quechua (073)",3,1,,2,,,,,
"Ashaninca (075)",30,8,,13,9,,,,
"Otra lengua nativa (076)",936,356,34,413,127,6,,,
"Castellano (077)",78,19,,32,12,1,11,1,2
"Idioma extranjero (078)",2,,,1,,,,1,
"Es sordomudo/a (079)",2,2,,,,,,,
