"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHACHAPOYAS (000)",18809,14116,1172,666,2855
"Empleado (001)",4705,1065,485,472,2683
"Obrero (002)",2356,1739,286,166,165
"Trabajador independiente (003)",8257,8003,254,,
"Empleador o patrono (004)",467,391,57,15,4
"Trabajador familiar no remunerado (005)",2336,2230,90,13,3
"Trabajador del hogar (006)",688,688,,,
"De 06 a 14 años (008)",387,373,13,1,
"Empleado (009)",17,15,1,1,
"Obrero (010)",57,54,3,,
"Trabajador independiente (011)",65,63,2,,
"Trabajador familiar no remunerado (013)",207,200,7,,
"Trabajador del hogar (014)",41,41,,,
"De 15 a 29 años (016)",5755,4521,450,175,609
"Empleado (017)",1389,527,192,116,554
"Obrero (018)",938,704,132,51,51
"Trabajador independiente (019)",1881,1812,69,,
"Empleador o patrono (020)",100,83,10,6,1
"Trabajador familiar no remunerado (021)",1117,1065,47,2,3
"Trabajador del hogar (022)",330,330,,,
"De 30 a 44 años (024)",6864,4582,465,334,1483
"Empleado (025)",2197,346,204,237,1410
"Obrero (026)",807,558,96,83,70
"Trabajador independiente (027)",2958,2844,114,,
"Empleador o patrono (028)",197,161,27,6,3
"Trabajador familiar no remunerado (029)",530,498,24,8,
"Trabajador del hogar (030)",175,175,,,
"De 45 a 64 años (032)",4576,3485,215,148,728
"Empleado (033)",1052,161,85,114,692
"Obrero (034)",484,370,48,30,36
"Trabajador independiente (035)",2453,2393,60,,
"Empleador o patrono (036)",127,112,13,2,
"Trabajador familiar no remunerado (037)",344,333,9,2,
"Trabajador del hogar (038)",116,116,,,
"De 65 y más años (040)",1227,1155,29,8,35
"Empleado (041)",50,16,3,4,27
"Obrero (042)",70,53,7,2,8
"Trabajador independiente (043)",900,891,9,,
"Empleador o patrono (044)",43,35,7,1,
"Trabajador familiar no remunerado (045)",138,134,3,1,
"Trabajador del hogar (046)",26,26,,,
,,,,,
"URBANA (048)",13012,8725,961,635,2691
"Empleado (049)",4473,1014,463,464,2532
"Obrero (050)",1623,1093,228,150,152
"Trabajador independiente (051)",4893,4716,177,,
"Empleador o patrono (052)",384,323,45,12,4
"Trabajador familiar no remunerado (053)",1055,995,48,9,3
"Trabajador del hogar (054)",584,584,,,
