"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARAVELI (000)",3516,1096,2420
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",229,165,64
"Casa pensión (003)",27,27,
"Hospital, clinica (004)",22,22,
"Aldea infantil, orfelinato, etc (007)",63,63,
"Otro (008)",2668,461,2207
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",507,358,149
