"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PADRE ABAD (000)",1850,1815,35
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",553,553,
"Casa pensión (003)",109,98,11
"Hospital, clinica (004)",5,4,1
"Aldea infantil, orfelinato, etc (007)",8,8,
"Otro (008)",550,547,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",625,605,20
