"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia POMABAMBA (000)",5891,1199,12,1870,1232,215,826,129,408
"Empleado (001)",1231,7,,16,115,79,616,83,315
"Obrero (002)",1268,287,5,500,357,31,52,12,24
"Trabajador independiente (003)",2599,670,5,1054,566,79,135,28,62
"Empleador o patrono (004)",19,,,2,9,2,2,1,3
"Trabajador familiar no remunerado (005)",646,203,2,256,138,21,19,3,4
"Trabajador del hogar (006)",128,32,,42,47,3,2,2,
"Hombres (008)",4623,927,10,1617,1024,157,528,90,270
"Empleado (009)",772,3,,14,79,50,375,51,200
"Obrero (010)",1207,260,5,486,341,31,51,12,21
"Trabajador independiente (011)",2227,578,4,949,476,61,90,23,46
"Empleador o patrono (012)",16,,,1,8,1,2,1,3
"Trabajador familiar no remunerado (013)",382,78,1,166,110,14,10,3,
"Trabajador del hogar (014)",19,8,,1,10,,,,
"Mujeres (016)",1268,272,2,253,208,58,298,39,138
"Empleado (017)",459,4,,2,36,29,241,32,115
"Obrero (018)",61,27,,14,16,,1,,3
"Trabajador independiente (019)",372,92,1,105,90,18,45,5,16
"Empleador o patrono (020)",3,,,1,1,1,,,
"Trabajador familiar no remunerado (021)",264,125,1,90,28,7,9,,4
"Trabajador del hogar (022)",109,24,,41,37,3,2,2,
,,,,,,,,,
"URBANA (024)",1953,113,,296,424,129,572,89,330
"Empleado (025)",912,3,,12,80,53,443,61,260
"Obrero (026)",173,12,,42,73,11,21,2,12
"Trabajador independiente (027)",681,74,,178,209,50,96,22,52
"Empleador o patrono (028)",15,,,2,6,2,2,1,2
"Trabajador familiar no remunerado (029)",94,12,,33,24,11,9,1,4
"Trabajador del hogar (030)",78,12,,29,32,2,1,2,
"Hombres (032)",1236,55,,192,300,83,341,58,207
"Empleado (033)",546,1,,10,55,31,257,35,157
"Obrero (034)",165,10,,41,70,11,21,2,10
"Trabajador independiente (035)",460,37,,123,151,34,58,19,38
"Empleador o patrono (036)",12,,,1,5,1,2,1,2
"Trabajador familiar no remunerado (037)",44,5,,16,13,6,3,1,
"Trabajador del hogar (038)",9,2,,1,6,,,,
"Mujeres (040)",717,58,,104,124,46,231,31,123
"Empleado (041)",366,2,,2,25,22,186,26,103
"Obrero (042)",8,2,,1,3,,,,2
"Trabajador independiente (043)",221,37,,55,58,16,38,3,14
"Empleador o patrono (044)",3,,,1,1,1,,,
"Trabajador familiar no remunerado (045)",50,7,,17,11,5,6,,4
"Trabajador del hogar (046)",69,10,,28,26,2,1,2,
,,,,,,,,,
"RURAL (048)",3938,1086,12,1574,808,86,254,40,78
"Empleado (049)",319,4,,4,35,26,173,22,55
"Obrero (050)",1095,275,5,458,284,20,31,10,12
"Trabajador independiente (051)",1918,596,5,876,357,29,39,6,10
"Empleador o patrono (052)",4,,,,3,,,,1
"Trabajador familiar no remunerado (053)",552,191,2,223,114,10,10,2,
"Trabajador del hogar (054)",50,20,,13,15,1,1,,
"Hombres (056)",3387,872,10,1425,724,74,187,32,63
"Empleado (057)",226,2,,4,24,19,118,16,43
"Obrero (058)",1042,250,5,445,271,20,30,10,11
"Trabajador independiente (059)",1767,541,4,826,325,27,32,4,8
"Empleador o patrono (060)",4,,,,3,,,,1
"Trabajador familiar no remunerado (061)",338,73,1,150,97,8,7,2,
"Trabajador del hogar (062)",10,6,,,4,,,,
"Mujeres (064)",551,214,2,149,84,12,67,8,15
"Empleado (065)",93,2,,,11,7,55,6,12
"Obrero (066)",53,25,,13,13,,1,,1
"Trabajador independiente (067)",151,55,1,50,32,2,7,2,2
"Trabajador familiar no remunerado (069)",214,118,1,73,17,2,3,,
"Trabajador del hogar (070)",40,14,,13,11,1,1,,
