"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONTRALMIRANTE VILLAR (000)",16623,12960,3663
"Casa independiente (001)",16246,12833,3413
"Departamento en edificio (002)",15,15,
"Vivienda en quinta (003)",46,46,
"Vivienda en casa de vecindad (004)",25,25,
"Choza o cabaña (005)",246,,246
"Vivienda improvisada (006)",1,1,
"Local no dest.para hab. humana (007)",21,17,4
"Otro tipo (008)",23,23,
