"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCAVELICA (000)",99359,18414,21941,18827,14338,10438,15401
"Católica (001)",76046,14192,16834,14487,11079,8048,11406
"Cristiana/Evangélica (002)",21284,3883,4508,3780,2987,2262,3864
"Otra (003)",517,75,109,151,85,51,46
"Ninguna (004)",1512,264,490,409,187,77,85
"Hombres (006)",47733,9262,10643,8949,6843,4944,7092
"Católica (007)",36648,7183,8242,6867,5270,3835,5251
"Cristiana/Evangélica (008)",9800,1879,2023,1711,1402,1024,1761
"Otra (009)",284,39,53,93,39,29,31
"Ninguna (010)",1001,161,325,278,132,56,49
"Mujeres (012)",51626,9152,11298,9878,7495,5494,8309
"Católica (013)",39398,7009,8592,7620,5809,4213,6155
"Cristiana/Evangélica (014)",11484,2004,2485,2069,1585,1238,2103
"Otra (015)",233,36,56,58,46,22,15
"Ninguna (016)",511,103,165,131,55,21,36
,,,,,,,
"URBANA (018)",44567,7501,10147,9480,6816,4571,6052
"Católica (019)",37096,6323,8372,7903,5774,3833,4891
"Cristiana/Evangélica (020)",5839,934,1287,1099,813,636,1070
"Otra (021)",460,66,97,136,74,49,38
"Ninguna (022)",1172,178,391,342,155,53,53
"Hombres (024)",21374,3806,4973,4513,3236,2136,2710
"Católica (025)",17751,3246,4106,3703,2737,1776,2183
"Cristiana/Evangélica (026)",2566,412,550,488,354,291,471
"Otra (027)",250,35,45,84,33,29,24
"Ninguna (028)",807,113,272,238,112,40,32
"Mujeres (030)",23193,3695,5174,4967,3580,2435,3342
"Católica (031)",19345,3077,4266,4200,3037,2057,2708
"Cristiana/Evangélica (032)",3273,522,737,611,459,345,599
"Otra (033)",210,31,52,52,41,20,14
"Ninguna (034)",365,65,119,104,43,13,21
,,,,,,,
"RURAL (036)",54792,10913,11794,9347,7522,5867,9349
"Católica (037)",38950,7869,8462,6584,5305,4215,6515
"Cristiana/Evangélica (038)",15445,2949,3221,2681,2174,1626,2794
"Otra (039)",57,9,12,15,11,2,8
"Ninguna (040)",340,86,99,67,32,24,32
"Hombres (042)",26359,5456,5670,4436,3607,2808,4382
"Católica (043)",18897,3937,4136,3164,2533,2059,3068
"Cristiana/Evangélica (044)",7234,1467,1473,1223,1048,733,1290
"Otra (045)",34,4,8,9,6,,7
"Ninguna (046)",194,48,53,40,20,16,17
"Mujeres (048)",28433,5457,6124,4911,3915,3059,4967
"Católica (049)",20053,3932,4326,3420,2772,2156,3447
"Cristiana/Evangélica (050)",8211,1482,1748,1458,1126,893,1504
"Otra (051)",23,5,4,6,5,2,1
"Ninguna (052)",146,38,46,27,12,8,15
