"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AMBO (000)",934,260,674
"Sin nivel (001)",97,23,74
"Educación inicial (002)",1,,1
"Primaria (003)",308,96,212
"Secundaria (004)",386,101,285
"Superior no univ. incompleta (005)",31,13,18
"Superior no univ. completa (006)",46,11,35
"Superior univ. incompleta (007)",28,9,19
"Superior univ. completa (008)",37,7,30
"Hombres (010)",725,178,547
"Sin nivel (011)",74,14,60
"Educación inicial (012)",1,,1
"Primaria (013)",249,61,188
"Secundaria (014)",304,77,227
"Superior no univ. incompleta (015)",25,10,15
"Superior no univ. completa (016)",25,5,20
"Superior univ. incompleta (017)",24,8,16
"Superior univ. completa (018)",23,3,20
"Mujeres (020)",209,82,127
"Sin nivel (021)",23,9,14
"Primaria (023)",59,35,24
"Secundaria (024)",82,24,58
"Superior no univ. incompleta (025)",6,3,3
"Superior no univ. completa (026)",21,6,15
"Superior univ. incompleta (027)",4,1,3
"Superior univ. completa (028)",14,4,10
,,,
"AREA URBANA (030)",500,107,393
"Sin nivel (031)",36,5,31
"Educación inicial (032)",1,,1
"Primaria (033)",121,19,102
"Secundaria (034)",230,53,177
"Superior no univ. incompleta (035)",23,10,13
"Superior no univ. completa (036)",32,6,26
"Superior univ. incompleta (037)",24,7,17
"Superior univ. completa (038)",33,7,26
"Hombres (040)",385,73,312
"Sin nivel (041)",24,3,21
"Educación inicial (042)",1,,1
"Primaria (043)",98,13,85
"Secundaria (044)",184,35,149
"Superior no univ. incompleta (045)",17,7,10
"Superior no univ. completa (046)",19,5,14
"Superior univ. incompleta (047)",21,7,14
"Superior univ. completa (048)",21,3,18
"Mujeres (050)",115,34,81
"Sin nivel (051)",12,2,10
"Primaria (053)",23,6,17
"Secundaria (054)",46,18,28
"Superior no univ. incompleta (055)",6,3,3
"Superior no univ. completa (056)",13,1,12
"Superior univ. incompleta (057)",3,,3
"Superior univ. completa (058)",12,4,8
,,,
"AREA RURAL (060)",434,153,281
"Sin nivel (061)",61,18,43
"Primaria (063)",187,77,110
"Secundaria (064)",156,48,108
"Superior no univ. incompleta (065)",8,3,5
"Superior no univ. completa (066)",14,5,9
"Superior univ. incompleta (067)",4,2,2
"Superior univ. completa (068)",4,,4
"Hombres (070)",340,105,235
"Sin nivel (071)",50,11,39
"Primaria (073)",151,48,103
"Secundaria (074)",120,42,78
"Superior no univ. incompleta (075)",8,3,5
"Superior no univ. completa (076)",6,,6
"Superior univ. incompleta (077)",3,1,2
"Superior univ. completa (078)",2,,2
"Mujeres (080)",94,48,46
"Sin nivel (081)",11,7,4
"Primaria (083)",36,29,7
"Secundaria (084)",36,6,30
"Superior no univ. completa (086)",8,5,3
"Superior univ. incompleta (087)",1,1,
"Superior univ. completa (088)",2,,2
