"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CANCHIS (000)",26133,19300,6833
"Red pública de desague dentro de la vivienda (001)",8217,7740,477
"Red pública de desague fuera de la vivienda (002)",3782,3568,214
"Pozo séptico (003)",1086,758,328
"Pozo ciego o negro / letrina (004)",5179,3926,1253
"Río, acequia o canal (005)",816,395,421
"No tiene (006)",7053,2913,4140
,,,
"URBANA (008)",15250,13425,1825
"Red pública de desague dentro de la vivienda (009)",8043,7583,460
"Red pública de desague fuera de la vivienda (010)",3664,3470,194
"Pozo séptico (011)",303,227,76
"Pozo ciego o negro / letrina (012)",993,764,229
"Río, acequia o canal (013)",151,97,54
"No tiene (014)",2096,1284,812
,,,
"RURAL (016)",10883,5875,5008
"Red pública de desague dentro de la vivienda (017)",174,157,17
"Red pública de desague fuera de la vivienda (018)",118,98,20
"Pozo séptico (019)",783,531,252
"Pozo ciego o negro / letrina (020)",4186,3162,1024
"Río, acequia o canal (021)",665,298,367
"No tiene (022)",4957,1629,3328
