"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LA CONVENCION (000)",65302,1219,22081,22428,15354,4220
"Agric., ganadería, caza y silvicultura (001)",38643,919,12583,11878,9869,3394
"Pesca (002)",25,,13,10,2,
"Explotación de minas y canteras (003)",374,,151,163,59,1
"Industrias manufactureras (004)",1595,14,597,550,357,77
"Suministro de electricidad, gas y agua (005)",113,,29,67,16,1
"Construcción (006)",2754,7,1042,1085,572,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6024,81,1762,2456,1440,285
"Venta, mant.y rep. veh.autom.y motoc. (008)",509,7,218,180,88,16
"Comercio al por mayor (009)",265,1,72,119,69,4
"Comercio al por menor (010)",5250,73,1472,2157,1283,265
"Hoteles y restaurantes (011)",2004,48,741,679,456,80
"Trans., almac. y comunicaciones (012)",1931,15,855,718,322,21
"Intermediación financiera (013)",96,,41,38,17,
"Activid.inmobil., empres. y alquileres (014)",828,1,287,353,174,13
"Admin.pub. y defensa; p. segur.soc afil (015)",2311,,806,986,479,40
"Enseñanza (016)",2554,,586,1409,550,9
"Servicios sociales y de salud (017)",668,,192,336,127,13
"Otras activ. serv.comun.soc y personales (018)",574,11,198,232,110,23
"Hogares privados con servicio doméstico (019)",951,59,504,224,117,47
"Actividad economica no especificada (021)",2010,18,741,654,471,126
"Desocupado (022)",1847,46,953,590,216,42
"Hombres (023)",48169,812,16027,16138,11726,3466
"Agric., ganadería, caza y silvicultura (024)",32340,661,10453,9912,8313,3001
"Pesca (025)",24,,12,10,2,
"Explotación de minas y canteras (026)",372,,150,163,58,1
"Industrias manufactureras (027)",1313,12,497,431,303,70
"Suministro de electricidad, gas y agua (028)",110,,27,66,16,1
"Construcción (029)",2656,7,982,1054,565,48
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",2458,45,739,910,626,138
"Venta, mant.y rep. veh.autom.y motoc. (031)",449,7,194,150,83,15
"Comercio al por mayor (032)",143,,37,65,39,2
"Comercio al por menor (033)",1866,38,508,695,504,121
"Hoteles y restaurantes (034)",402,12,180,97,91,22
"Trans., almac. y comunicaciones (035)",1773,14,749,681,309,20
"Intermediación financiera (036)",65,,19,32,14,
"Activid.inmobil., empres. y alquileres (037)",624,1,192,275,145,11
"Admin.pub. y defensa; p. segur.soc afil (038)",1956,,644,851,424,37
"Enseñanza (039)",1279,,227,681,363,8
