"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia BAGUA (000)",35670,18794,180,350,14070,546,46,90,15,1579
"Hombres (001)",12853,9600,125,214,1696,290,33,59,11,825
"Mujeres (002)",22817,9194,55,136,12374,256,13,31,4,754
"De 06 a 14 años (003)",16096,14683,,,418,295,1,24,,675
"Hombres (004)",8101,7488,,,149,140,1,15,,308
"Mujeres (005)",7995,7195,,,269,155,,9,,367
"De 15 a 29 años (006)",9755,3981,9,68,5245,,20,27,15,390
"Hombres (007)",2905,2062,5,29,558,,16,19,11,205
"Mujeres (008)",6850,1919,4,39,4687,,4,8,4,185
"De 30 a 44 años (009)",4685,100,11,71,4251,,10,14,,228
"Hombres (010)",651,34,5,44,421,,7,8,,132
"Mujeres (011)",4034,66,6,27,3830,,3,6,,96
"De 45 a 64 años (012)",3298,26,55,88,2946,8,13,11,,151
"Hombres (013)",549,15,34,55,326,5,8,8,,98
"Mujeres (014)",2749,11,21,33,2620,3,5,3,,53
"De 65 y más años (015)",1836,4,105,123,1210,243,2,14,,135
"Hombres (016)",647,1,81,86,242,145,1,9,,82
"Mujeres (017)",1189,3,24,37,968,98,1,5,,53
,,,,,,,,,,
"AREA URBANA (018)",16851,8899,149,211,6946,206,8,24,7,401
"Hombres (019)",6081,4426,101,114,1066,115,6,19,3,231
"Mujeres (020)",10770,4473,48,97,5880,91,2,5,4,170
"De 06 a 14 años (021)",6687,6378,,,166,66,,7,,70
"Hombres (022)",3398,3262,,,72,30,,5,,29
"Mujeres (023)",3289,3116,,,94,36,,2,,41
"De 15 a 29 años (024)",4938,2417,7,36,2348,,4,6,7,113
"Hombres (025)",1557,1120,4,13,347,,4,6,3,60
"Mujeres (026)",3381,1297,3,23,2001,,,,4,53
"De 30 a 44 años (027)",2375,80,9,35,2163,,1,4,,83
"Hombres (028)",366,28,3,18,259,,1,4,,53
"Mujeres (029)",2009,52,6,17,1904,,,,,30
"De 45 a 64 años (030)",1759,21,45,55,1565,,3,1,,69
"Hombres (031)",331,15,28,27,213,,1,,,47
"Mujeres (032)",1428,6,17,28,1352,,2,1,,22
"De 65 y más años (033)",1092,3,88,85,704,140,,6,,66
"Hombres (034)",429,1,66,56,175,85,,4,,42
"Mujeres (035)",663,2,22,29,529,55,,2,,24
,,,,,,,,,,
"AREA RURAL (036)",18819,9895,31,139,7124,340,38,66,8,1178
"Hombres (037)",6772,5174,24,100,630,175,27,40,8,594
"Mujeres (038)",12047,4721,7,39,6494,165,11,26,,584
"De 06 a 14 años (039)",9409,8305,,,252,229,1,17,,605
"Hombres (040)",4703,4226,,,77,110,1,10,,279
"Mujeres (041)",4706,4079,,,175,119,,7,,326
"De 15 a 29 años (042)",4817,1564,2,32,2897,,16,21,8,277
"Hombres (043)",1348,942,1,16,211,,12,13,8,145
"Mujeres (044)",3469,622,1,16,2686,,4,8,,132
"De 30 a 44 años (045)",2310,20,2,36,2088,,9,10,,145
"Hombres (046)",285,6,2,26,162,,6,4,,79
"Mujeres (047)",2025,14,,10,1926,,3,6,,66
"De 45 a 64 años (048)",1539,5,10,33,1381,8,10,10,,82
"Hombres (049)",218,,6,28,113,5,7,8,,51
"Mujeres (050)",1321,5,4,5,1268,3,3,2,,31
"De 65 y más años (051)",744,1,17,38,506,103,2,8,,69
"Hombres (052)",218,,15,30,67,60,1,5,,40
"Mujeres (053)",526,1,2,8,439,43,1,3,,29
