"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN MARTIN (000)",61011,140297,128460,,2656,91.6,1.9
"De 12 a 14 años (001)",5375,50,49,,10,98,20
"De 15 a 19 años (002)",9170,1708,1662,436,97.3,25.5,
"De 20 a 24 años (003)",7753,5920,5771,692,97.5,11.7,
"De 25 a 29 años (004)",6538,9314,9062,621,97.3,6.7,
"De 30 a 34 años (005)",5987,12734,12384,501,97.3,3.9,
"De 35 a 39 años (006)",5843,16314,15666,291,96,1.8,
"De 40 a 44 años (007)",5088,16606,15809,90,95.2,0.5,
"De 45 a 49 años (008)",3989,14903,13868,15,93.1,0.1,
"De 50 y más años (009)",11268,62748,54189,,86.4,,
"PEA (010)",23338,52510,49029,763,93.4,1.5,
"De 12 a 14 años (011)",400,9,9,,100,,
"De 15 a 19 años (012)",2183,437,426,86,97.5,19.7,
"De 20 a 24 años (013)",3140,1813,1777,164,98,9,
"De 25 a 29 años (014)",3058,3385,3297,191,97.4,5.6,
"De 30 a 34 años (015)",3028,5595,5456,184,97.5,3.3,
"De 35 a 39 años (016)",3014,7603,7326,100,96.4,1.3,
"De 40 a 44 años (017)",2791,8419,8058,35,95.7,0.4,
"De 45 a 49 años (018)",2122,7266,6838,3,94.1,,
"De 50 y más años (019)",3602,17983,15842,,88.1,,
"Ocupada (020)",22679,51601,48153,734,93.3,1.4,
"De 12 a 14 años (021)",386,9,9,,100,,
"De 15 a 19 años (022)",2067,418,407,83,97.4,19.9,
"De 20 a 24 años (023)",2986,1760,1726,156,98.1,8.9,
"De 25 a 29 años (024)",2941,3278,3191,184,97.3,5.6,
"De 30 a 34 años (025)",2955,5481,5344,178,97.5,3.2,
"De 35 a 39 años (026)",2947,7438,7168,96,96.4,1.3,
"De 40 a 44 años (027)",2744,8286,7926,34,95.7,0.4,
"De 45 a 49 años (028)",2093,7167,6744,3,94.1,,
"De 50 y más años (029)",3560,17764,15638,,88,,
"Desocupada (030)",659,909,876,29,96.4,3.2,
"De 12 a 14 años (031)",14,,,,,,
"De 15 a 19 años (032)",116,19,19,3,100,15.8,
"De 20 a 24 años (033)",154,53,51,8,96.2,15.1,
"De 25 a 29 años (034)",117,107,106,7,99.1,6.5,
"De 30 a 34 años (035)",73,114,112,6,98.2,5.3,
