"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OTUZCO (000)",76681,24143,2879,593,49105
"Hombres (001)",38664,11460,1423,367,25439
"Mujeres (002)",38017,12683,1456,226,23666
"PEA (003)",29433,5763,1389,317,21985
"Hombres (004)",23463,4486,804,240,17949
"Mujeres (005)",5970,1277,585,77,4036
"Ocupada (006)",28553,5577,1363,312,21320
"Hombres (007)",22763,4330,789,237,17422
"Mujeres (008)",5790,1247,574,75,3898
"Desocupada (009)",880,186,26,5,665
"Hombres (010)",700,156,15,3,527
"Mujeres (011)",180,30,11,2,138
"No PEA (012)",47248,18380,1490,276,27120
"Hombres (013)",15201,6974,619,127,7490
"Mujeres (014)",32047,11406,871,149,19630
,,,,,
"URBANA (018)",18872,3978,2052,438,12419
"Hombres (019)",9189,1818,1006,270,6105
"Mujeres (020)",9683,2160,1046,168,6314
"PEA (021)",7795,866,1072,241,5625
"Hombres (022)",5183,550,568,176,3896
"Mujeres (023)",2612,316,504,65,1729
"Ocupada (024)",7419,835,1053,237,5303
"Hombres (025)",4900,522,559,173,3653
"Mujeres (026)",2519,313,494,64,1650
"Desocupada (027)",376,31,19,4,322
"Hombres (028)",283,28,9,3,243
"Mujeres (029)",93,3,10,1,79
"No PEA (030)",11077,3112,980,197,6794
"Hombres (031)",4006,1268,438,94,2209
"Mujeres (032)",7071,1844,542,103,4585
,,,,,
"RURAL (036)",57809,20165,827,155,36686
"Hombres (037)",29475,9642,417,97,19334
"Mujeres (038)",28334,10523,410,58,17352
"PEA (039)",21638,4897,317,76,16360
"Hombres (040)",18280,3936,236,64,14053
"Mujeres (041)",3358,961,81,12,2307
"Ocupada (042)",21134,4742,310,75,16017
"Hombres (043)",17863,3808,230,64,13769
"Mujeres (044)",3271,934,80,11,2248
"Desocupada (045)",504,155,7,1,343
"Hombres (046)",417,128,6,,284
"Mujeres (047)",87,27,1,1,59
"No PEA (048)",36171,15268,510,79,20326
"Hombres (049)",11195,5706,181,33,5281
"Mujeres (050)",24976,9562,329,46,15045
