"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LUYA (000)",41365,4071,759,25411,8863,481,1013,278,489
"Hombres (001)",21431,1253,386,13513,5059,271,484,185,280
"Mujeres (002)",19934,2818,373,11898,3804,210,529,93,209
"PEA (003)",15874,1221,20,9280,3589,329,827,183,425
"Hombres (004)",12764,835,17,7849,3026,224,427,134,252
"Mujeres (005)",3110,386,3,1431,563,105,400,49,173
"Ocupada (006)",15711,1207,20,9202,3542,323,813,182,422
"Hombres (007)",12650,826,17,7787,2994,219,422,134,251
"Mujeres (008)",3061,381,3,1415,548,104,391,48,171
"Desocupada (009)",163,14,,78,47,6,14,1,3
"Hombres (010)",114,9,,62,32,5,5,,1
"Mujeres (011)",49,5,,16,15,1,9,1,2
"No PEA (012)",25491,2850,739,16131,5274,152,186,95,64
"Hombres (013)",8667,418,369,5664,2033,47,57,51,28
"Mujeres (014)",16824,2432,370,10467,3241,105,129,44,36
,,,,,,,,,
"URBANA (018)",17035,1410,340,8988,4636,371,714,178,398
"Hombres (019)",8456,350,167,4525,2553,203,322,110,226
"Mujeres (020)",8579,1060,173,4463,2083,168,392,68,172
"PEA (021)",6885,387,5,3281,1936,251,573,110,342
"Hombres (022)",5049,220,3,2565,1536,165,283,76,201
"Mujeres (023)",1836,167,2,716,400,86,290,34,141
"Ocupada (024)",6785,379,5,3241,1903,245,563,110,339
"Hombres (025)",4974,215,3,2530,1512,160,278,76,200
"Mujeres (026)",1811,164,2,711,391,85,285,34,139
"Desocupada (027)",100,8,,40,33,6,10,,3
"Hombres (028)",75,5,,35,24,5,5,,1
"Mujeres (029)",25,3,,5,9,1,5,,2
"No PEA (030)",10150,1023,335,5707,2700,120,141,68,56
"Hombres (031)",3407,130,164,1960,1017,38,39,34,25
"Mujeres (032)",6743,893,171,3747,1683,82,102,34,31
,,,,,,,,,
"RURAL (036)",24330,2661,419,16423,4227,110,299,100,91
"Hombres (037)",12975,903,219,8988,2506,68,162,75,54
"Mujeres (038)",11355,1758,200,7435,1721,42,137,25,37
"PEA (039)",8989,834,15,5999,1653,78,254,73,83
"Hombres (040)",7715,615,14,5284,1490,59,144,58,51
"Mujeres (041)",1274,219,1,715,163,19,110,15,32
"Ocupada (042)",8926,828,15,5961,1639,78,250,72,83
"Hombres (043)",7676,611,14,5257,1482,59,144,58,51
"Mujeres (044)",1250,217,1,704,157,19,106,14,32
"Desocupada (045)",63,6,,38,14,,4,1,
"Hombres (046)",39,4,,27,8,,,,
"Mujeres (047)",24,2,,11,6,,4,1,
"No PEA (048)",15341,1827,404,10424,2574,32,45,27,8
"Hombres (049)",5260,288,205,3704,1016,9,18,17,3
"Mujeres (050)",10081,1539,199,6720,1558,23,27,10,5
