"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",5803,26,520,67,105,316,2237,149,199,1812,9,363
"Agric., ganadería, caza y silvicultura (001)",3646,,2,2,,,2237,,4,1401,,
"Explotación de minas y canteras (003)",34,,1,1,1,1,,10,2,18,,
"Industrias manufactureras (004)",112,,1,2,,,,103,4,2,,
"Suministro de electricidad, gas y agua (005)",10,,,,2,,,1,5,2,,
"Construcción (006)",337,,5,5,1,,,13,119,194,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",325,,,1,1,258,,16,2,47,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",10,,,,,3,,7,,,,
"Comercio al por mayor (009)",11,,,,,11,,,,,,
"Comercio al por menor (010)",304,,,1,1,244,,9,2,47,,
"Hoteles y restaurantes (011)",74,,,,1,52,,,,21,,
"Trans., almac. y comunicaciones (012)",81,,,1,8,,,1,58,13,,
"Intermediación financiera (013)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",31,,8,7,2,1,,,1,12,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",198,22,19,12,72,1,,4,1,58,9,
"Enseñanza (016)",462,4,444,2,4,,,,1,7,,
"Servicios sociales y de salud (017)",66,,34,24,2,1,,1,2,2,,
"Otras activ. serv.comun.soc y personales (018)",19,,5,8,,2,,,,4,,
"Hogares privados con servicio doméstico (019)",30,,,,,,,,,30,,
"Actividad economica no especificada (021)",377,,1,2,10,,,,,1,,363
"Hombres (022)",4430,21,337,52,79,97,2031,134,192,1297,9,181
"Agric., ganadería, caza y silvicultura (023)",3034,,2,2,,,2031,,4,995,,
"Explotación de minas y canteras (025)",33,,1,1,1,1,,9,2,18,,
"Industrias manufactureras (026)",99,,1,2,,,,90,4,2,,
"Suministro de electricidad, gas y agua (027)",10,,,,2,,,1,5,2,,
"Construcción (028)",317,,4,5,1,,,12,113,182,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",120,,,1,1,83,,16,2,17,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",9,,,,,2,,7,,,,
"Comercio al por mayor (031)",9,,,,,9,,,,,,
"Comercio al por menor (032)",102,,,1,1,72,,9,2,17,,
"Hoteles y restaurantes (033)",11,,,,1,10,,,,,,
"Trans., almac. y comunicaciones (034)",72,,,,4,,,1,57,10,,
"Activid.inmobil., empres. y alquileres (036)",24,,6,7,1,1,,,1,8,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",164,18,18,10,55,1,,4,1,48,9,
"Enseñanza (038)",297,3,284,1,2,,,,1,6,,
"Servicios sociales y de salud (039)",36,,16,14,2,,,1,2,1,,
"Otras activ. serv.comun.soc y personales (040)",14,,4,7,,1,,,,2,,
"Hogares privados con servicio doméstico (041)",5,,,,,,,,,5,,
"Actividad economica no especificada (043)",194,,1,2,9,,,,,1,,181
"Mujeres (044)",1373,5,183,15,26,219,206,15,7,515,,182
"Agric., ganadería, caza y silvicultura (045)",612,,,,,,206,,,406,,
"Explotación de minas y canteras (047)",1,,,,,,,1,,,,
"Industrias manufactureras (048)",13,,,,,,,13,,,,
"Construcción (050)",20,,1,,,,,1,6,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",205,,,,,175,,,,30,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",1,,,,,1,,,,,,
"Comercio al por mayor (053)",2,,,,,2,,,,,,
"Comercio al por menor (054)",202,,,,,172,,,,30,,
"Hoteles y restaurantes (055)",63,,,,,42,,,,21,,
"Trans., almac. y comunicaciones (056)",9,,,1,4,,,,1,3,,
"Intermediación financiera (057)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",7,,2,,1,,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",34,4,1,2,17,,,,,10,,
"Enseñanza (060)",165,1,160,1,2,,,,,1,,
"Servicios sociales y de salud (061)",30,,18,10,,1,,,,1,,
"Otras activ. serv.comun.soc y personales (062)",5,,1,1,,1,,,,2,,
"Hogares privados con servicio doméstico (063)",25,,,,,,,,,25,,
"Actividad economica no especificada (065)",183,,,,1,,,,,,,182
,,,,,,,,,,,,
"URBANA (066)",2170,17,365,49,84,226,587,76,86,505,8,167
"Agric., ganadería, caza y silvicultura (067)",946,,1,,,,587,,2,356,,
"Explotación de minas y canteras (069)",12,,,1,,,,3,,8,,
"Industrias manufactureras (070)",48,,1,1,,,,44,2,,,
"Suministro de electricidad, gas y agua (071)",4,,,,2,,,1,,1,,
"Construcción (072)",93,,5,5,,,,9,37,37,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",225,,,1,,181,,14,,29,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",7,,,,,2,,5,,,,
"Comercio al por mayor (075)",3,,,,,3,,,,,,
"Comercio al por menor (076)",215,,,1,,176,,9,,29,,
"Hoteles y restaurantes (077)",54,,,,1,40,,,,13,,
"Trans., almac. y comunicaciones (078)",54,,,1,6,,,,42,5,,
"Intermediación financiera (079)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",25,,8,5,1,1,,,1,9,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",142,13,19,11,61,1,,4,1,24,8,
"Enseñanza (082)",310,4,298,1,3,,,,,4,,
"Servicios sociales y de salud (083)",51,,28,17,2,1,,1,1,1,,
"Otras activ. serv.comun.soc y personales (084)",12,,4,4,,2,,,,2,,
"Hogares privados con servicio doméstico (085)",16,,,,,,,,,16,,
"Actividad economica no especificada (087)",177,,1,2,7,,,,,,,167
"Hombres (088)",1514,13,224,37,64,68,529,66,80,338,8,87
"Agric., ganadería, caza y silvicultura (089)",784,,1,,,,529,,2,252,,
"Explotación de minas y canteras (091)",12,,,1,,,,3,,8,,
"Industrias manufactureras (092)",39,,1,1,,,,35,2,,,
"Suministro de electricidad, gas y agua (093)",4,,,,2,,,1,,1,,
"Construcción (094)",82,,4,5,,,,8,32,33,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",78,,,1,,55,,14,,8,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",6,,,,,1,,5,,,,
"Comercio al por mayor (097)",1,,,,,1,,,,,,
"Comercio al por menor (098)",71,,,1,,53,,9,,8,,
"Hoteles y restaurantes (099)",11,,,,1,10,,,,,,
"Trans., almac. y comunicaciones (100)",47,,,,3,,,,41,3,,
"Activid.inmobil., empres. y alquileres (102)",19,,6,5,1,1,,,1,5,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",119,10,18,9,48,1,,4,1,20,8,
"Enseñanza (104)",184,3,177,,1,,,,,3,,
"Servicios sociales y de salud (105)",28,,13,10,2,,,1,1,1,,
"Otras activ. serv.comun.soc y personales (106)",7,,3,3,,1,,,,,,
"Hogares privados con servicio doméstico (107)",4,,,,,,,,,4,,
"Actividad economica no especificada (109)",96,,1,2,6,,,,,,,87
"Mujeres (110)",656,4,141,12,20,158,58,10,6,167,,80
"Agric., ganadería, caza y silvicultura (111)",162,,,,,,58,,,104,,
"Industrias manufactureras (114)",9,,,,,,,9,,,,
"Construcción (116)",11,,1,,,,,1,5,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",147,,,,,126,,,,21,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",1,,,,,1,,,,,,
"Comercio al por mayor (119)",2,,,,,2,,,,,,
"Comercio al por menor (120)",144,,,,,123,,,,21,,
"Hoteles y restaurantes (121)",43,,,,,30,,,,13,,
"Trans., almac. y comunicaciones (122)",7,,,1,3,,,,1,2,,
"Intermediación financiera (123)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",6,,2,,,,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",23,3,1,2,13,,,,,4,,
"Enseñanza (126)",126,1,121,1,2,,,,,1,,
"Servicios sociales y de salud (127)",23,,15,7,,1,,,,,,
"Otras activ. serv.comun.soc y personales (128)",5,,1,1,,1,,,,2,,
"Hogares privados con servicio doméstico (129)",12,,,,,,,,,12,,
"Actividad economica no especificada (131)",81,,,,1,,,,,,,80
,,,,,,,,,,,,
"RURAL (132)",3633,9,155,18,21,90,1650,73,113,1307,1,196
"Agric., ganadería, caza y silvicultura (133)",2700,,1,2,,,1650,,2,1045,,
"Explotación de minas y canteras (135)",22,,1,,1,1,,7,2,10,,
"Industrias manufactureras (136)",64,,,1,,,,59,2,2,,
"Suministro de electricidad, gas y agua (137)",6,,,,,,,,5,1,,
"Construcción (138)",244,,,,1,,,4,82,157,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",100,,,,1,77,,2,2,18,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",3,,,,,1,,2,,,,
"Comercio al por mayor (141)",8,,,,,8,,,,,,
"Comercio al por menor (142)",89,,,,1,68,,,2,18,,
"Hoteles y restaurantes (143)",20,,,,,12,,,,8,,
"Trans., almac. y comunicaciones (144)",27,,,,2,,,1,16,8,,
"Activid.inmobil., empres. y alquileres (146)",6,,,2,1,,,,,3,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",56,9,,1,11,,,,,34,1,
"Enseñanza (148)",152,,146,1,1,,,,1,3,,
"Servicios sociales y de salud (149)",15,,6,7,,,,,1,1,,
"Otras activ. serv.comun.soc y personales (150)",7,,1,4,,,,,,2,,
"Hogares privados con servicio doméstico (151)",14,,,,,,,,,14,,
"Actividad economica no especificada (153)",200,,,,3,,,,,1,,196
"Hombres (154)",2916,8,113,15,15,29,1502,68,112,959,1,94
"Agric., ganadería, caza y silvicultura (155)",2250,,1,2,,,1502,,2,743,,
"Explotación de minas y canteras (157)",21,,1,,1,1,,6,2,10,,
"Industrias manufactureras (158)",60,,,1,,,,55,2,2,,
