"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia ESPINAR (000)",30255,18922,113,272,10013,347,20,53,3,512
"Hombres (001)",12889,9876,79,138,2328,159,15,27,3,264
"Mujeres (002)",17366,9046,34,134,7685,188,5,26,,248
"De 06 a 14 años (003)",14390,13859,,,237,142,2,6,,144
"Hombres (004)",7371,7087,,,123,81,1,3,,76
"Mujeres (005)",7019,6772,,,114,61,1,3,,68
"De 15 a 29 años (006)",8219,4925,6,86,3047,,7,15,3,130
"Hombres (007)",3445,2719,5,42,596,,7,8,3,65
"Mujeres (008)",4774,2206,1,44,2451,,,7,,65
"De 30 a 44 años (009)",3064,110,8,80,2779,,6,8,,73
"Hombres (010)",694,57,3,43,536,,5,5,,45
"Mujeres (011)",2370,53,5,37,2243,,1,3,,28
"De 45 a 64 años (012)",2522,22,46,65,2300,3,2,6,,78
"Hombres (013)",668,10,33,32,547,,,4,,42
"Mujeres (014)",1854,12,13,33,1753,3,2,2,,36
"De 65 y más años (015)",2060,6,53,41,1650,202,3,18,,87
"Hombres (016)",711,3,38,21,526,78,2,7,,36
"Mujeres (017)",1349,3,15,20,1124,124,1,11,,51
,,,,,,,,,,
"AREA URBANA (018)",14296,9138,89,210,4516,106,13,8,1,215
"Hombres (019)",5966,4673,61,101,960,47,10,3,1,110
"Mujeres (020)",8330,4465,28,109,3556,59,3,5,,105
"De 06 a 14 años (021)",6575,6356,,,128,47,,1,,43
"Hombres (022)",3393,3272,,,68,27,,1,,25
"Mujeres (023)",3182,3084,,,60,20,,,,18
"De 15 a 29 años (024)",4459,2682,3,66,1628,,4,2,1,73
"Hombres (025)",1720,1355,2,28,295,,4,,1,35
"Mujeres (026)",2739,1327,1,38,1333,,,2,,38
"De 30 a 44 años (027)",1593,83,7,65,1394,,6,2,,36
"Hombres (028)",332,38,3,34,229,,5,1,,22
"Mujeres (029)",1261,45,4,31,1165,,1,1,,14
"De 45 a 64 años (030)",976,14,37,49,841,,1,1,,33
"Hombres (031)",288,7,26,25,211,,,,,19
"Mujeres (032)",688,7,11,24,630,,1,1,,14
"De 65 y más años (033)",693,3,42,30,525,59,2,2,,30
"Hombres (034)",233,1,30,14,157,20,1,1,,9
"Mujeres (035)",460,2,12,16,368,39,1,1,,21
,,,,,,,,,,
"AREA RURAL (036)",15959,9784,24,62,5497,241,7,45,2,297
"Hombres (037)",6923,5203,18,37,1368,112,5,24,2,154
"Mujeres (038)",9036,4581,6,25,4129,129,2,21,,143
"De 06 a 14 años (039)",7815,7503,,,109,95,2,5,,101
"Hombres (040)",3978,3815,,,55,54,1,2,,51
"Mujeres (041)",3837,3688,,,54,41,1,3,,50
"De 15 a 29 años (042)",3760,2243,3,20,1419,,3,13,2,57
"Hombres (043)",1725,1364,3,14,301,,3,8,2,30
"Mujeres (044)",2035,879,,6,1118,,,5,,27
"De 30 a 44 años (045)",1471,27,1,15,1385,,,6,,37
"Hombres (046)",362,19,,9,307,,,4,,23
"Mujeres (047)",1109,8,1,6,1078,,,2,,14
"De 45 a 64 años (048)",1546,8,9,16,1459,3,1,5,,45
"Hombres (049)",380,3,7,7,336,,,4,,23
"Mujeres (050)",1166,5,2,9,1123,3,1,1,,22
"De 65 y más años (051)",1367,3,11,11,1125,143,1,16,,57
"Hombres (052)",478,2,8,7,369,58,1,6,,27
"Mujeres (053)",889,1,3,4,756,85,,10,,30
