"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OCROS (000)",8686,376,1678,1425,1261,1040,985,770,1151
"Quechua (001)",734,7,32,52,64,85,98,113,283
"Aymara (002)",4,,,,,1,1,1,1
"Ashaninca (003)",2,,1,1,,,,,
"Castellano (005)",7932,367,1641,1371,1194,953,884,655,867
"Idioma extranjero (006)",2,1,1,,,,,,
"Es sordomudo/a (007)",12,1,3,1,3,1,2,1,
"Hombres (009)",4512,175,860,781,674,535,526,414,547
"Quechua (010)",327,2,17,27,31,41,45,62,102
"Aymara (011)",1,,,,,,1,,
"Ashaninca (012)",2,,1,1,,,,,
"Castellano (014)",4174,173,839,753,642,493,478,351,445
"Idioma extranjero (015)",1,,1,,,,,,
"Es sordomudo/a (016)",7,,2,,1,1,2,1,
"Mujeres (018)",4174,201,818,644,587,505,459,356,604
"Quechua (019)",407,5,15,25,33,44,53,51,181
"Aymara (020)",3,,,,,1,,1,1
"Castellano (023)",3758,194,802,618,552,460,406,304,422
"Idioma extranjero (024)",1,1,,,,,,,
"Es sordomudo/a (025)",5,1,1,1,2,,,,
,,,,,,,,,
"URBANA (027)",5026,199,913,783,730,615,576,470,740
"Quechua (028)",479,4,19,24,31,56,58,75,212
"Aymara (029)",4,,,,,1,1,1,1
"Ashaninca (030)",1,,,1,,,,,
"Castellano (032)",4533,194,892,757,696,558,515,394,527
"Idioma extranjero (033)",2,1,1,,,,,,
"Es sordomudo/a (034)",7,,1,1,3,,2,,
"Hombres (036)",2595,88,488,430,389,302,313,251,334
"Quechua (037)",194,1,9,13,12,24,26,39,70
"Aymara (038)",1,,,,,,1,,
"Ashaninca (039)",1,,,1,,,,,
"Castellano (041)",2394,87,477,416,376,278,284,212,264
"Idioma extranjero (042)",1,,1,,,,,,
"Es sordomudo/a (043)",4,,1,,1,,2,,
"Mujeres (045)",2431,111,425,353,341,313,263,219,406
"Quechua (046)",285,3,10,11,19,32,32,36,142
"Aymara (047)",3,,,,,1,,1,1
"Castellano (050)",2139,107,415,341,320,280,231,182,263
"Idioma extranjero (051)",1,1,,,,,,,
"Es sordomudo/a (052)",3,,,1,2,,,,
,,,,,,,,,
"RURAL (054)",3660,177,765,642,531,425,409,300,411
"Quechua (055)",255,3,13,28,33,29,40,38,71
"Ashaninca (057)",1,,1,,,,,,
"Castellano (059)",3399,173,749,614,498,395,369,261,340
"Es sordomudo/a (061)",5,1,2,,,1,,1,
"Hombres (063)",1917,87,372,351,285,233,213,163,213
"Quechua (064)",133,1,8,14,19,17,19,23,32
"Ashaninca (066)",1,,1,,,,,,
"Castellano (068)",1780,86,362,337,266,215,194,139,181
"Es sordomudo/a (070)",3,,1,,,1,,1,
"Mujeres (072)",1743,90,393,291,246,192,196,137,198
"Quechua (073)",122,2,5,14,14,12,21,15,39
"Castellano (077)",1619,87,387,277,232,180,175,122,159
"Es sordomudo/a (079)",2,1,1,,,,,,
