"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CASTROVIRREYNA (000)",16999,4071,4202,3794,3029,1903
"Hombres (001)",8916,2047,2300,2144,1590,835
"Mujeres (002)",8083,2024,1902,1650,1439,1068
"PEA (003)",6668,103,1843,2265,1769,688
"Hombres (004)",4667,55,1337,1600,1217,458
"Mujeres (005)",2001,48,506,665,552,230
"Ocupada (006)",6492,101,1756,2216,1738,681
"Hombres (007)",4531,55,1278,1559,1188,451
"Mujeres (008)",1961,46,478,657,550,230
"Desocupada (009)",176,2,87,49,31,7
"Hombres (010)",136,,59,41,29,7
"Mujeres (011)",40,2,28,8,2,
"No PEA (012)",10331,3968,2359,1529,1260,1215
"Hombres (013)",4249,1992,963,544,373,377
"Mujeres (014)",6082,1976,1396,985,887,838
,,,,,,
"URBANA (018)",5503,1061,1538,1368,1000,536
"Hombres (019)",3006,511,894,790,574,237
"Mujeres (020)",2497,550,644,578,426,299
"PEA (021)",2715,45,820,1027,663,160
"Hombres (022)",1910,26,600,693,480,111
"Mujeres (023)",805,19,220,334,183,49
"Ocupada (024)",2630,44,778,1005,648,155
"Hombres (025)",1854,26,576,679,467,106
"Mujeres (026)",776,18,202,326,181,49
"Desocupada (027)",85,1,42,22,15,5
"Hombres (028)",56,,24,14,13,5
"Mujeres (029)",29,1,18,8,2,
"No PEA (030)",2788,1016,718,341,337,376
"Hombres (031)",1096,485,294,97,94,126
"Mujeres (032)",1692,531,424,244,243,250
,,,,,,
"RURAL (036)",11496,3010,2664,2426,2029,1367
"Hombres (037)",5910,1536,1406,1354,1016,598
"Mujeres (038)",5586,1474,1258,1072,1013,769
"PEA (039)",3953,58,1023,1238,1106,528
"Hombres (040)",2757,29,737,907,737,347
"Mujeres (041)",1196,29,286,331,369,181
"Ocupada (042)",3862,57,978,1211,1090,526
"Hombres (043)",2677,29,702,880,721,345
"Mujeres (044)",1185,28,276,331,369,181
"Desocupada (045)",91,1,45,27,16,2
"Hombres (046)",80,,35,27,16,2
"Mujeres (047)",11,1,10,,,
"No PEA (048)",7543,2952,1641,1188,923,839
"Hombres (049)",3153,1507,669,447,279,251
"Mujeres (050)",4390,1445,972,741,644,588
