"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia VICTOR FAJARDO (000)",316,115,201
"Sin nivel (001)",11,4,7
"Primaria (003)",125,36,89
"Secundaria (004)",122,53,69
"Superior no univ. incompleta (005)",10,3,7
"Superior no univ. completa (006)",28,12,16
"Superior univ. incompleta (007)",4,2,2
"Superior univ. completa (008)",16,5,11
"De 14 a 29 años (010)",149,88,61
"Sin nivel (011)",5,4,1
"Primaria (013)",40,23,17
"Secundaria (014)",73,44,29
"Superior no univ. incompleta (015)",4,2,2
"Superior no univ. completa (016)",19,11,8
"Superior univ. incompleta (017)",1,1,
"Superior univ. completa (018)",7,3,4
"De 30 a 44 años (020)",89,22,67
"Sin nivel (021)",2,,2
"Primaria (023)",28,11,17
"Secundaria (024)",35,6,29
"Superior no univ. incompleta (025)",5,1,4
"Superior no univ. completa (026)",7,1,6
"Superior univ. incompleta (027)",3,1,2
"Superior univ. completa (028)",9,2,7
"De 45 a 64 años (030)",62,5,57
"Sin nivel (031)",3,,3
"Primaria (033)",44,2,42
"Secundaria (034)",13,3,10
"Superior no univ. completa (036)",2,,2
"De 65 y más años (040)",16,,16
"Sin nivel (041)",1,,1
"Primaria (043)",13,,13
"Secundaria (044)",1,,1
"Superior no univ. incompleta (045)",1,,1
,,,
"AREA URBANA (050)",235,86,149
"Sin nivel (051)",6,2,4
"Primaria (053)",67,17,50
"Secundaria (054)",108,47,61
"Superior no univ. incompleta (055)",9,3,6
"Superior no univ. completa (056)",26,11,15
"Superior univ. incompleta (057)",3,1,2
"Superior univ. completa (058)",16,5,11
"De 14 a 29 años (060)",107,66,41
"Sin nivel (061)",3,2,1
"Primaria (063)",13,10,3
"Secundaria (064)",63,39,24
"Superior no univ. incompleta (065)",4,2,2
"Superior no univ. completa (066)",17,10,7
"Superior univ. completa (068)",7,3,4
"De 30 a 44 años (070)",75,16,59
"Sin nivel (071)",1,,1
"Primaria (073)",20,6,14
"Secundaria (074)",31,5,26
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",7,1,6
"Superior univ. incompleta (077)",3,1,2
"Superior univ. completa (078)",9,2,7
"De 45 a 64 años (080)",41,4,37
"Sin nivel (081)",2,,2
"Primaria (083)",24,1,23
"Secundaria (084)",13,3,10
"Superior no univ. completa (086)",2,,2
"De 65 y más años (090)",12,,12
"Primaria (093)",10,,10
"Secundaria (094)",1,,1
"Superior no univ. incompleta (095)",1,,1
,,,
"AREA RURAL (100)",81,29,52
"Sin nivel (101)",5,2,3
"Primaria (103)",58,19,39
"Secundaria (104)",14,6,8
"Superior no univ. incompleta (105)",1,,1
"Superior no univ. completa (106)",2,1,1
"Superior univ. incompleta (107)",1,1,
"De 14 a 29 años (110)",42,22,20
"Sin nivel (111)",2,2,
"Primaria (113)",27,13,14
"Secundaria (114)",10,5,5
"Superior no univ. completa (116)",2,1,1
"Superior univ. incompleta (117)",1,1,
"De 30 a 44 años (120)",14,6,8
"Sin nivel (121)",1,,1
"Primaria (123)",8,5,3
"Secundaria (124)",4,1,3
"Superior no univ. incompleta (125)",1,,1
"De 45 a 64 años (130)",21,1,20
"Sin nivel (131)",1,,1
"Primaria (133)",20,1,19
"De 65 y más años (140)",4,,4
"Sin nivel (141)",1,,1
"Primaria (143)",3,,3
