"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SULLANA (000)",5572,1395,4177
"De 14 a 29 años (001)",2938,1101,1837
"De 30 a 44 años (002)",1563,247,1316
"De 45 a 64 años (003)",904,47,857
"De 65 y más años (004)",167,,167
"Hombres (005)",4128,864,3264
"De 14 a 29 años (006)",2031,686,1345
"De 30 a 44 años (007)",1159,149,1010
"De 45 a 64 años (008)",785,29,756
"De 65 y más años (009)",153,,153
"Mujeres (010)",1444,531,913
"De 14 a 29 años (011)",907,415,492
"De 30 a 44 años (012)",404,98,306
"De 45 a 64 años (013)",119,18,101
"De 65 y más años (014)",14,,14
,,,
"AREA URBANA (015)",5052,1263,3789
"De 14 a 29 años (016)",2647,986,1661
"De 30 a 44 años (017)",1433,237,1196
"De 45 a 64 años (018)",828,40,788
"De 65 y más años (019)",144,,144
"Hombres (020)",3675,758,2917
"De 14 a 29 años (021)",1784,595,1189
"De 30 a 44 años (022)",1043,140,903
"De 45 a 64 años (023)",716,23,693
"De 65 y más años (024)",132,,132
"Mujeres (025)",1377,505,872
"De 14 a 29 años (026)",863,391,472
"De 30 a 44 años (027)",390,97,293
"De 45 a 64 años (028)",112,17,95
"De 65 y más años (029)",12,,12
,,,
"AREA RURAL (030)",520,132,388
"De 14 a 29 años (031)",291,115,176
"De 30 a 44 años (032)",130,10,120
"De 45 a 64 años (033)",76,7,69
"De 65 y más años (034)",23,,23
"Hombres (035)",453,106,347
"De 14 a 29 años (036)",247,91,156
"De 30 a 44 años (037)",116,9,107
"De 45 a 64 años (038)",69,6,63
"De 65 y más años (039)",21,,21
"Mujeres (040)",67,26,41
"De 14 a 29 años (041)",44,24,20
"De 30 a 44 años (042)",14,1,13
"De 45 a 64 años (043)",7,1,6
"De 65 y más años (044)",2,,2
