"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia RECUAY (000)",498,2,226,145,105,20
"Conviviente (001)",137,,43,62,24,8
"Separado(a) (002)",22,,5,6,11,
"Casado(a) (003)",104,,3,33,57,11
"Viudo(a) (004)",5,,,1,3,1
"Divorciado(a) (005)",1,,,,1,
"Soltero(a) (006)",229,2,175,43,9,
"Hombres (008)",406,2,174,122,89,19
"Conviviente (009)",120,,36,56,21,7
"Separado(a) (010)",10,,1,3,6,
"Casado(a) (011)",98,,2,31,54,11
"Viudo(a) (012)",2,,,,1,1
"Divorciado(a) (013)",1,,,,1,
"Soltero(a) (014)",175,2,135,32,6,
"Mujeres (016)",92,,52,23,16,1
"Conviviente (017)",17,,7,6,3,1
"Separado(a) (018)",12,,4,3,5,
"Casado(a) (019)",6,,1,2,3,
"Viudo(a) (020)",3,,,1,2,
"Soltero(a) (022)",54,,40,11,3,
,,,,,,
"AREA URBANA (024)",318,2,135,93,72,16
"Conviviente (025)",86,,26,35,17,8
"Separado(a) (026)",14,,3,4,7,
"Casado(a) (027)",72,,3,24,37,8
"Viudo(a) (028)",4,,,1,3,
"Divorciado(a) (029)",1,,,,1,
"Soltero(a) (030)",141,2,103,29,7,
"Hombres (032)",253,2,104,75,57,15
"Conviviente (033)",72,,20,30,15,7
"Separado(a) (034)",5,,1,2,2,
"Casado(a) (035)",67,,2,23,34,8
"Viudo(a) (036)",1,,,,1,
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",107,2,81,20,4,
"Mujeres (040)",65,,31,18,15,1
"Conviviente (041)",14,,6,5,2,1
"Separado(a) (042)",9,,2,2,5,
"Casado(a) (043)",5,,1,1,3,
"Viudo(a) (044)",3,,,1,2,
"Soltero(a) (046)",34,,22,9,3,
,,,,,,
"AREA RURAL (048)",180,,91,52,33,4
"Conviviente (049)",51,,17,27,7,
"Separado(a) (050)",8,,2,2,4,
"Casado(a) (051)",32,,,9,20,3
"Viudo(a) (052)",1,,,,,1
"Soltero(a) (054)",88,,72,14,2,
"Hombres (056)",153,,70,47,32,4
"Conviviente (057)",48,,16,26,6,
"Separado(a) (058)",5,,,1,4,
"Casado(a) (059)",31,,,8,20,3
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",68,,54,12,2,
"Mujeres (064)",27,,21,5,1,
"Conviviente (065)",3,,1,1,1,
"Separado(a) (066)",3,,2,1,,
"Casado(a) (067)",1,,,1,,
"Soltero(a) (070)",20,,18,2,,
