"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SULLANA (000)",180912,173209,7703
"Hombres (001)",88502,84810,3692
"Mujeres (002)",92410,88399,4011
"De 18 a 29 años (003)",59972,55693,4279
"Hombres (004)",29193,26878,2315
"Mujeres (005)",30779,28815,1964
"De 30 a 44 años (006)",59368,58290,1078
"Hombres (007)",28723,28148,575
"Mujeres (008)",30645,30142,503
"De 45 a 64 años (009)",43444,42485,959
"Hombres (010)",21663,21230,433
"Mujeres (011)",21781,21255,526
"De 65 y más años (012)",18128,16741,1387
"Hombres (013)",8923,8554,369
"Mujeres (014)",9205,8187,1018
,,,
"URBANA (015)",163389,156874,6515
"Hombres (016)",79163,76022,3141
"Mujeres (017)",84226,80852,3374
"De 18 a 29 años (018)",54012,50204,3808
"Hombres (019)",26030,23964,2066
"Mujeres (020)",27982,26240,1742
"De 30 a 44 años (021)",53858,52946,912
"Hombres (022)",25874,25386,488
"Mujeres (023)",27984,27560,424
"De 45 a 64 años (024)",39403,38668,735
"Hombres (025)",19480,19134,346
"Mujeres (026)",19923,19534,389
"De 65 y más años (027)",16116,15056,1060
"Hombres (028)",7779,7538,241
"Mujeres (029)",8337,7518,819
,,,
"RURAL (030)",17523,16335,1188
"Hombres (031)",9339,8788,551
"Mujeres (032)",8184,7547,637
"De 18 a 29 años (033)",5960,5489,471
"Hombres (034)",3163,2914,249
"Mujeres (035)",2797,2575,222
"De 30 a 44 años (036)",5510,5344,166
"Hombres (037)",2849,2762,87
"Mujeres (038)",2661,2582,79
"De 45 a 64 años (039)",4041,3817,224
"Hombres (040)",2183,2096,87
"Mujeres (041)",1858,1721,137
"De 65 y más años (042)",2012,1685,327
"Hombres (043)",1144,1016,128
"Mujeres (044)",868,669,199
