"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAYLLOMA (000)",64487,14365,19784,15080,10532,4726
"Sin nivel (001)",6149,344,308,1561,2034,1902
"Educación inicial (002)",930,869,35,26,,
"Primaria (003)",23182,10056,2915,4288,3993,1930
"Secundaria (004)",21134,3096,10596,4704,2286,452
"Superior no univ. incompleta (005)",3790,,2174,1045,475,96
"Superior no univ. completa (006)",3833,,1613,1533,568,119
"Superior univ. incompleta (007)",2297,,1350,523,361,63
"Superior univ. completa (008)",3172,,793,1400,815,164
"PEA (010)",33813,645,11392,11681,7758,2337
"Sin nivel (011)",3115,22,174,994,1228,697
"Educación inicial (012)",39,8,17,14,,
"Primaria (013)",9325,353,1815,3149,2906,1102
"Secundaria (014)",11887,262,5761,3770,1828,266
"Superior no univ. incompleta (015)",2516,,1206,872,376,62
"Superior no univ. completa (016)",3057,,1256,1276,463,62
"Superior univ. incompleta (017)",1316,,548,427,296,45
"Superior univ. completa (018)",2558,,615,1179,661,103
"Ocupada (020)",32911,632,10954,11418,7609,2298
"Sin nivel (021)",3055,22,166,968,1212,687
"Educación inicial (022)",35,8,15,12,,
"Primaria (023)",9086,347,1750,3075,2833,1081
"Secundaria (024)",11510,255,5526,3680,1787,262
"Superior no univ. incompleta (025)",2446,,1163,852,370,61
"Superior no univ. completa (026)",2975,,1206,1251,457,61
"Superior univ. incompleta (027)",1287,,534,418,291,44
"Superior univ. completa (028)",2517,,594,1162,659,102
