"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JULCAN (000)",7873,7484,200,97,92
"Sin nivel (001)",1074,1050,18,3,3
"Educación inicial (002)",15,15,,,
"Primaria (003)",4642,4535,75,22,10
"Secundaria (004)",1537,1444,41,20,32
"Superior no univ. incompleta (005)",151,137,5,4,5
"Superior no univ. completa (006)",161,101,23,18,19
"Superior univ. incompleta (007)",54,42,3,5,4
"Superior univ. completa (008)",239,160,35,25,19
"De 06 a 14 años (010)",175,170,5,,
"Sin nivel (011)",14,14,,,
"Educación inicial (012)",3,3,,,
"Primaria (013)",131,126,5,,
"Secundaria (014)",27,27,,,
"De 15 a 29 años (020)",2594,2466,69,26,33
"Sin nivel (021)",101,99,2,,
"Educación inicial (022)",11,11,,,
"Primaria (023)",1491,1462,18,7,4
"Secundaria (024)",829,777,24,12,16
"Superior no univ. incompleta (025)",62,57,4,,1
"Superior no univ. completa (026)",53,38,10,1,4
"Superior univ. incompleta (027)",12,7,2,3,
"Superior univ. completa (028)",35,15,9,3,8
"De 30 a 44 años (030)",2569,2407,76,41,45
"Sin nivel (031)",365,357,5,1,2
"Educación inicial (032)",1,1,,,
"Primaria (033)",1467,1420,33,8,6
"Secundaria (034)",441,421,9,2,9
"Superior no univ. incompleta (035)",68,60,1,4,3
"Superior no univ. completa (036)",88,51,11,13,13
"Superior univ. incompleta (037)",20,16,1,2,1
"Superior univ. completa (038)",119,81,16,11,11
"De 45 a 64 años (040)",1786,1704,42,26,14
"Sin nivel (041)",344,333,9,1,1
"Primaria (043)",1121,1103,14,4,
"Secundaria (044)",199,178,8,6,7
"Superior no univ. incompleta (045)",17,16,,,1
"Superior no univ. completa (046)",19,11,2,4,2
"Superior univ. incompleta (047)",16,13,,,3
"Superior univ. completa (048)",70,50,9,11,
"De 65 y más años (050)",749,737,8,4,
"Sin nivel (051)",250,247,2,1,
"Primaria (053)",432,424,5,3,
"Secundaria (054)",41,41,,,
"Superior no univ. incompleta (055)",4,4,,,
"Superior no univ. completa (056)",1,1,,,
"Superior univ. incompleta (057)",6,6,,,
"Superior univ. completa (058)",15,14,1,,
,,,,,
"URBANA (060)",1164,961,79,57,67
"Sin nivel (061)",118,106,8,2,2
"Primaria (063)",461,435,15,7,4
