"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PALLASCA",,,
"Viviendas particulares (001)",7103,4389,2714
"Ocupantes presentes (002)",29027,17564,11463
"Casa independiente",,,
"Viviendas particulares (004)",6836,4351,2485
"Ocupantes presentes (005)",28030,17402,10628
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (010)",10,10,
"Ocupantes presentes (011)",23,23,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",26,24,2
"Ocupantes presentes (014)",138,131,7
"Choza o cabaña",,,
"Viviendas particulares (016)",226,2,224
"Ocupantes presentes (017)",824,4,820
"Vivienda improvisada",,,
"Viviendas particulares (019)",2,,2
"Ocupantes presentes (020)",4,,4
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",2,1,1
"Ocupantes presentes (023)",7,3,4
"Otro tipo",,,
"Viviendas particulares (025)",1,1,
"Ocupantes presentes (026)",1,1,
,,,
URBANA,,,
"Viviendas particulares (028)",3896,3063,833
"Ocupantes presentes (029)",15045,11921,3124
"Casa independiente",,,
"Viviendas particulares (031)",3856,3027,829
"Ocupantes presentes (032)",14876,11763,3113
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (037)",10,10,
"Ocupantes presentes (038)",23,23,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",26,24,2
"Ocupantes presentes (041)",138,131,7
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",2,,2
"Ocupantes presentes (047)",4,,4
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",1,1,
"Ocupantes presentes (050)",3,3,
"Otro tipo",,,
"Viviendas particulares (052)",1,1,
"Ocupantes presentes (053)",1,1,
,,,
RURAL,,,
"Viviendas particulares (055)",3207,1326,1881
"Ocupantes presentes (056)",13982,5643,8339
"Casa independiente",,,
"Viviendas particulares (058)",2980,1324,1656
"Ocupantes presentes (059)",13154,5639,7515
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",226,2,224
"Ocupantes presentes (071)",824,4,820
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,,1
"Ocupantes presentes (077)",4,,4
"Otro tipo",,,
