"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TUMBES (000)",34282,139811,31506,128578,2776,11233
"Casa independiente (001)",32684,135232,29931,124089,2753,11143
"Departamento en edificio (002)",362,1110,362,1110,,
"Vivienda en quinta (003)",894,2313,894,2313,,
"Vivienda en casa de vecindad (004)",92,357,92,357,,
"Choza o cabaña (005)",22,86,,,22,86
"Vivienda improvisada (006)",74,240,74,240,,
"Local no dest.para hab. humana (007)",35,100,34,96,1,4
"Otro tipo (008)",119,373,119,373,,
