"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia PALPA",,,,,,,
"Viviendas particulares (001)",3457,1503,67,65,1290,86,446
"Ocupantes presentes (002)",12783,5715,260,247,5015,269,1277
"Casa independiente",,,,,,,
"Viviendas particulares (004)",3301,1473,51,65,1243,79,390
"Ocupantes presentes (005)",12289,5607,212,247,4867,236,1120
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",5,5,,,,,
"Ocupantes presentes (008)",17,17,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",13,11,1,,,,1
"Ocupantes presentes (011)",51,40,7,,,,4
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",26,12,14,,,,
"Ocupantes presentes (014)",85,46,39,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",87,,,,44,6,37
"Ocupantes presentes (017)",263,,,,137,30,96
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",9,,1,,3,,5
"Ocupantes presentes (020)",32,,2,,11,,19
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",4,2,,,,1,1
"Ocupantes presentes (023)",9,5,,,,3,1
"Otro tipo",,,,,,,
"Viviendas particulares (025)",12,,,,,,12
"Ocupantes presentes (026)",37,,,,,,37
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2192,1441,60,33,506,7,145
"Ocupantes presentes (029)",8397,5496,230,146,2072,22,431
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2125,1411,44,33,503,7,127
"Ocupantes presentes (032)",8170,5388,182,146,2061,22,371
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",5,5,,,,,
"Ocupantes presentes (035)",17,17,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",13,11,1,,,,1
"Ocupantes presentes (038)",51,40,7,,,,4
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",26,12,14,,,,
"Ocupantes presentes (041)",85,46,39,,,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",9,,1,,3,,5
"Ocupantes presentes (047)",32,,2,,11,,19
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,2,,,,,
"Ocupantes presentes (050)",5,5,,,,,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",12,,,,,,12
"Ocupantes presentes (053)",37,,,,,,37
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",1265,62,7,32,784,79,301
"Ocupantes presentes (056)",4386,219,30,101,2943,247,846
"Casa independiente",,,,,,,
"Viviendas particulares (058)",1176,62,7,32,740,72,263
"Ocupantes presentes (059)",4119,219,30,101,2806,214,749
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",87,,,,44,6,37
"Ocupantes presentes (071)",263,,,,137,30,96
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,,1,1
"Ocupantes presentes (077)",4,,,,,3,1
"Otro tipo",,,,,,,
