"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CELENDIN",,,,,,,,
"Hogares (001)",21691,14087,4127,1348,125,475,524,6799
"Ocupantes presentes (002)",88329,59542,16993,5658,516,1984,2253,25522
"Casa independiente",,,,,,,,
"Hogares (004)",20715,13532,3962,1309,123,466,509,6428
"Ocupantes presentes (005)",84606,57293,16394,5506,506,1945,2206,24230
"Departamento en edificio",,,,,,,,
"Hogares (007)",12,7,9,3,,1,4,2
"Ocupantes presentes (008)",30,20,26,10,,3,10,2
"Vivienda en quinta",,,,,,,,
"Hogares (010)",177,104,83,21,,6,6,45
"Ocupantes presentes (011)",609,364,306,79,,28,26,133
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",120,77,60,10,1,2,4,27
"Ocupantes presentes (014)",397,256,222,35,6,8,10,86
"Choza o cabaña",,,,,,,,
"Hogares (016)",644,360,9,4,,,,284
"Ocupantes presentes (017)",2646,1595,37,24,,,,1051
"Vivienda improvisada",,,,,,,,
"Hogares (019)",1,,,,,,,1
"Ocupantes presentes (020)",2,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",17,6,4,1,1,,1,8
"Ocupantes presentes (023)",31,12,8,4,4,,1,12
"Otro tipo",,,,,,,,
"Hogares (025)",5,1,,,,,,4
"Ocupantes presentes (026)",8,2,,,,,,6
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",5635,3874,2971,1134,115,434,506,1132
"Ocupantes presentes (029)",22004,15594,12188,4737,475,1820,2175,3897
"Casa independiente",,,,,,,,
"Hogares (031)",5313,3683,2816,1099,113,425,491,1051
"Ocupantes presentes (032)",20942,14946,11627,4609,465,1781,2128,3665
"Departamento en edificio",,,,,,,,
"Hogares (034)",12,7,9,3,,1,4,2
"Ocupantes presentes (035)",30,20,26,10,,3,10,2
"Vivienda en quinta",,,,,,,,
"Hogares (037)",177,104,83,21,,6,6,45
"Ocupantes presentes (038)",609,364,306,79,,28,26,133
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",120,77,60,10,1,2,4,27
"Ocupantes presentes (041)",397,256,222,35,6,8,10,86
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",1,,,,,,,1
"Ocupantes presentes (047)",2,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",9,2,3,1,1,,1,4
"Ocupantes presentes (050)",20,6,7,4,4,,1,7
"Otro tipo",,,,,,,,
"Hogares (052)",3,1,,,,,,2
"Ocupantes presentes (053)",4,2,,,,,,2
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",16056,10213,1156,214,10,41,18,5667
"Ocupantes presentes (056)",66325,43948,4805,921,41,164,78,21625
"Casa independiente",,,,,,,,
"Hogares (058)",15402,9849,1146,210,10,41,18,5377
"Ocupantes presentes (059)",63664,42347,4767,897,41,164,78,20565
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",644,360,9,4,,,,284
"Ocupantes presentes (071)",2646,1595,37,24,,,,1051
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",8,4,1,,,,,4
"Ocupantes presentes (077)",11,6,1,,,,,5
"Otro tipo",,,,,,,,
"Hogares (079)",2,,,,,,,2
"Ocupantes presentes (080)",4,,,,,,,4
