"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TRUJILLO (000)",768445,62278,21761,198302,239273,43783,63274,54254,85520
"Quechua (001)",1489,127,10,398,467,104,132,71,180
"Aymara (002)",274,33,8,66,67,24,20,19,37
"Ashaninca (003)",85,9,1,27,21,3,6,10,8
"Otra lengua nativa (004)",984,91,24,309,326,67,54,42,71
"Castellano (005)",764655,61664,21688,197326,238271,43563,63026,54070,85047
"Idioma extranjero (006)",403,18,14,54,70,14,28,38,167
"Es sordomudo/a (007)",555,336,16,122,51,8,8,4,10
"Hombres (009)",370352,24387,11170,93585,123253,21120,26539,28384,41914
"Quechua (010)",773,31,3,144,272,61,90,46,126
"Aymara (011)",147,20,4,35,33,12,10,11,22
"Ashaninca (012)",45,6,1,14,13,2,2,4,3
"Otra lengua nativa (013)",466,34,12,142,163,40,21,23,31
"Castellano (014)",368399,24109,11132,93152,122710,20993,26395,28278,41630
"Idioma extranjero (015)",212,6,8,25,34,7,17,20,95
"Es sordomudo/a (016)",310,181,10,73,28,5,4,2,7
"Mujeres (018)",398093,37891,10591,104717,116020,22663,36735,25870,43606
"Quechua (019)",716,96,7,254,195,43,42,25,54
"Aymara (020)",127,13,4,31,34,12,10,8,15
"Ashaninca (021)",40,3,,13,8,1,4,6,5
"Otra lengua nativa (022)",518,57,12,167,163,27,33,19,40
"Castellano (023)",396256,37555,10556,104174,115561,22570,36631,25792,43417
"Idioma extranjero (024)",191,12,6,29,36,7,11,18,72
"Es sordomudo/a (025)",245,155,6,49,23,3,4,2,3
,,,,,,,,,
"URBANA (027)",750023,59640,21249,190339,233752,43268,62669,53965,85141
"Quechua (028)",1478,125,10,393,464,104,132,71,179
"Aymara (029)",274,33,8,66,67,24,20,19,37
"Ashaninca (030)",84,8,1,27,21,3,6,10,8
"Otra lengua nativa (031)",982,90,24,309,325,67,54,42,71
"Castellano (032)",746267,59045,21176,189372,232754,43048,62421,53781,84670
"Idioma extranjero (033)",402,18,14,54,70,14,28,38,166
"Es sordomudo/a (034)",536,321,16,118,51,8,8,4,10
"Hombres (036)",360828,23359,10927,89365,120135,20868,26261,28219,41694
"Quechua (037)",766,29,3,140,272,61,90,46,125
"Aymara (038)",147,20,4,35,33,12,10,11,22
"Ashaninca (039)",44,5,1,14,13,2,2,4,3
"Otra lengua nativa (040)",465,34,12,142,162,40,21,23,31
"Castellano (041)",358895,23093,10889,88938,119593,20741,26117,28113,41411
"Idioma extranjero (042)",212,6,8,25,34,7,17,20,95
"Es sordomudo/a (043)",299,172,10,71,28,5,4,2,7
"Mujeres (045)",389195,36281,10322,100974,113617,22400,36408,25746,43447
"Quechua (046)",712,96,7,253,192,43,42,25,54
"Aymara (047)",127,13,4,31,34,12,10,8,15
"Ashaninca (048)",40,3,,13,8,1,4,6,5
"Otra lengua nativa (049)",517,56,12,167,163,27,33,19,40
"Castellano (050)",387372,35952,10287,100434,113161,22307,36304,25668,43259
"Idioma extranjero (051)",190,12,6,29,36,7,11,18,71
"Es sordomudo/a (052)",237,149,6,47,23,3,4,2,3
,,,,,,,,,
"RURAL (054)",18422,2638,512,7963,5521,515,605,289,379
"Quechua (055)",11,2,,5,3,,,,1
"Ashaninca (057)",1,1,,,,,,,
"Otra lengua nativa (058)",2,1,,,1,,,,
"Castellano (059)",18388,2619,512,7954,5517,515,605,289,377
"Idioma extranjero (060)",1,,,,,,,,1
"Es sordomudo/a (061)",19,15,,4,,,,,
"Hombres (063)",9524,1028,243,4220,3118,252,278,165,220
"Quechua (064)",7,2,,4,,,,,1
"Ashaninca (066)",1,1,,,,,,,
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",9504,1016,243,4214,3117,252,278,165,219
"Es sordomudo/a (070)",11,9,,2,,,,,
"Mujeres (072)",8898,1610,269,3743,2403,263,327,124,159
"Quechua (073)",4,,,1,3,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",8884,1603,269,3740,2400,263,327,124,158
"Idioma extranjero (078)",1,,,,,,,,1
"Es sordomudo/a (079)",8,6,,2,,,,,
