"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3092,46,135,245,324,550,949,843
"De 12 a 14 años (001)",5,,,,,,,5
"De 15 a 19 años (002)",63,,,,,,45,18
"De 20 a 24 años (003)",261,,,,,1,164,96
"De 25 a 29 años (004)",297,,,,,8,199,90
"De 30 a 34 años (005)",282,,,,,37,184,61
"De 35 a 39 años (006)",308,,,,,74,170,64
"De 40 a 44 años (007)",317,,,,6,137,121,53
"De 45 a 49 años (008)",247,,,1,32,129,53,32
"De 50 y más años (009)",1312,46,135,244,286,164,13,424
"PEA (010)",1107,4,16,50,109,240,394,294
"De 15 a 19 años (012)",16,,,,,,8,8
"De 20 a 24 años (013)",93,,,,,1,52,40
"De 25 a 29 años (014)",139,,,,,6,88,45
"De 30 a 34 años (015)",117,,,,,14,76,27
"De 35 a 39 años (016)",146,,,,,38,80,28
"De 40 a 44 años (017)",161,,,,3,69,61,28
"De 45 a 49 años (018)",108,,,,14,57,23,14
"De 50 y más años (019)",327,4,16,50,92,55,6,104
"Ocupada (020)",1084,4,16,50,107,235,387,285
"De 15 a 19 años (022)",15,,,,,,8,7
"De 20 a 24 años (023)",86,,,,,1,49,36
"De 25 a 29 años (024)",134,,,,,6,87,41
"De 30 a 34 años (025)",114,,,,,14,73,27
"De 35 a 39 años (026)",143,,,,,35,80,28
"De 40 a 44 años (027)",161,,,,3,69,61,28
"De 45 a 49 años (028)",106,,,,14,55,23,14
"De 50 y más años (029)",325,4,16,50,90,55,6,104
"Desocupada (030)",23,,,,2,5,7,9
"De 15 a 19 años (032)",1,,,,,,,1
"De 20 a 24 años (033)",7,,,,,,3,4
"De 25 a 29 años (034)",5,,,,,,1,4
"De 30 a 34 años (035)",3,,,,,,3,
"De 35 a 39 años (036)",3,,,,,3,,
"De 45 a 49 años (038)",2,,,,,2,,
"De 50 y más años (039)",2,,,,2,,,
"No PEA (040)",1985,42,119,195,215,310,555,549
"De 12 a 14 años (041)",5,,,,,,,5
"De 15 a 19 años (042)",47,,,,,,37,10
"De 20 a 24 años (043)",168,,,,,,112,56
"De 25 a 29 años (044)",158,,,,,2,111,45
"De 30 a 34 años (045)",165,,,,,23,108,34
"De 35 a 39 años (046)",162,,,,,36,90,36
"De 40 a 44 años (047)",156,,,,3,68,60,25
"De 45 a 49 años (048)",139,,,1,18,72,30,18
"De 50 y más años (049)",985,42,119,194,194,109,7,320
,,,,,,,,
"URBANA (060)",2101,33,94,150,207,382,662,573
"De 12 a 14 años (061)",4,,,,,,,4
"De 15 a 19 años (062)",35,,,,,,24,11
