"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CONTUMAZA",,,,,,,,
"Hogares (001)",8258,6127,2367,885,169,703,271,1572
"Ocupantes presentes (002)",31042,23922,9171,3503,721,2748,1179,5005
"Casa independiente",,,,,,,,
"Hogares (004)",7790,5757,2325,872,169,700,270,1487
"Ocupantes presentes (005)",29128,22343,9018,3458,721,2733,1176,4712
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",28,14,20,7,,3,1,4
"Ocupantes presentes (011)",95,51,67,28,,15,3,16
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",10,2,3,2,,,,6
"Ocupantes presentes (014)",31,8,13,6,,,,13
"Choza o cabaña",,,,,,,,
"Hogares (016)",426,353,19,4,,,,72
"Ocupantes presentes (017)",1775,1515,73,11,,,,256
"Vivienda improvisada",,,,,,,,
"Hogares (019)",2,1,,,,,,1
"Ocupantes presentes (020)",8,5,,,,,,3
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",1,,,,,,,1
"Ocupantes presentes (023)",1,,,,,,,1
"Otro tipo",,,,,,,,
"Hogares (025)",1,,,,,,,1
"Ocupantes presentes (026)",4,,,,,,,4
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",3546,2490,2061,778,161,639,260,544
"Ocupantes presentes (029)",13000,9453,7982,3110,693,2533,1138,1608
"Casa independiente",,,,,,,,
"Hogares (031)",3504,2473,2038,769,161,636,259,531
"Ocupantes presentes (032)",12861,9389,7902,3076,693,2518,1135,1571
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",28,14,20,7,,3,1,4
"Ocupantes presentes (038)",95,51,67,28,,15,3,16
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",10,2,3,2,,,,6
"Ocupantes presentes (041)",31,8,13,6,,,,13
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",2,1,,,,,,1
"Ocupantes presentes (047)",8,5,,,,,,3
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",1,,,,,,,1
"Ocupantes presentes (050)",1,,,,,,,1
"Otro tipo",,,,,,,,
"Hogares (052)",1,,,,,,,1
"Ocupantes presentes (053)",4,,,,,,,4
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",4712,3637,306,107,8,64,11,1028
"Ocupantes presentes (056)",18042,14469,1189,393,28,215,41,3397
"Casa independiente",,,,,,,,
"Hogares (058)",4286,3284,287,103,8,64,11,956
"Ocupantes presentes (059)",16267,12954,1116,382,28,215,41,3141
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",426,353,19,4,,,,72
"Ocupantes presentes (071)",1775,1515,73,11,,,,256
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
