"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUAYTARA (000)",11709,5512,87,264,5217,209,7,16,,397
"Hombres (001)",4488,2852,62,127,1028,111,3,10,,295
"Mujeres (002)",7221,2660,25,137,4189,98,4,6,,102
"De 06 a 14 años (003)",4563,4304,,,114,52,,3,,90
"Hombres (004)",2343,2214,,,55,30,,2,,42
"Mujeres (005)",2220,2090,,,59,22,,1,,48
"De 15 a 29 años (006)",2613,1171,1,52,1282,,3,3,,101
"Hombres (007)",950,622,1,25,225,,,,,77
"Mujeres (008)",1663,549,,27,1057,,3,3,,24
"De 30 a 44 años (009)",1493,23,1,60,1334,,2,3,,70
"Hombres (010)",345,14,1,29,234,,1,1,,65
"Mujeres (011)",1148,9,,31,1100,,1,2,,5
"De 45 a 64 años (012)",1423,13,30,61,1250,1,2,2,,64
"Hombres (013)",325,2,19,27,216,1,2,2,,56
"Mujeres (014)",1098,11,11,34,1034,,,,,8
"De 65 y más años (015)",1617,1,55,91,1237,156,,5,,72
"Hombres (016)",525,,41,46,298,80,,5,,55
"Mujeres (017)",1092,1,14,45,939,76,,,,17
,,,,,,,,,,
"AREA URBANA (018)",3408,1741,54,66,1399,44,3,,,101
"Hombres (019)",1344,885,35,36,286,19,1,,,82
"Mujeres (020)",2064,856,19,30,1113,25,2,,,19
"De 06 a 14 años (021)",1307,1255,,,29,17,,,,6
"Hombres (022)",657,626,,,18,9,,,,4
"Mujeres (023)",650,629,,,11,8,,,,2
"De 15 a 29 años (024)",890,478,,15,365,,1,,,31
"Hombres (025)",351,254,,8,64,,,,,25
"Mujeres (026)",539,224,,7,301,,1,,,6
"De 30 a 44 años (027)",391,5,,14,342,,1,,,29
"Hombres (028)",98,4,,9,60,,,,,25
"Mujeres (029)",293,1,,5,282,,1,,,4
"De 45 a 64 años (030)",382,3,14,14,331,,1,,,19
"Hombres (031)",93,1,6,7,61,,1,,,17
"Mujeres (032)",289,2,8,7,270,,,,,2
"De 65 y más años (033)",438,,40,23,332,27,,,,16
"Hombres (034)",145,,29,12,83,10,,,,11
"Mujeres (035)",293,,11,11,249,17,,,,5
,,,,,,,,,,
"AREA RURAL (036)",8301,3771,33,198,3818,165,4,16,,296
"Hombres (037)",3144,1967,27,91,742,92,2,10,,213
"Mujeres (038)",5157,1804,6,107,3076,73,2,6,,83
"De 06 a 14 años (039)",3256,3049,,,85,35,,3,,84
"Hombres (040)",1686,1588,,,37,21,,2,,38
"Mujeres (041)",1570,1461,,,48,14,,1,,46
"De 15 a 29 años (042)",1723,693,1,37,917,,2,3,,70
"Hombres (043)",599,368,1,17,161,,,,,52
"Mujeres (044)",1124,325,,20,756,,2,3,,18
"De 30 a 44 años (045)",1102,18,1,46,992,,1,3,,41
"Hombres (046)",247,10,1,20,174,,1,1,,40
"Mujeres (047)",855,8,,26,818,,,2,,1
"De 45 a 64 años (048)",1041,10,16,47,919,1,1,2,,45
"Hombres (049)",232,1,13,20,155,1,1,2,,39
"Mujeres (050)",809,9,3,27,764,,,,,6
"De 65 y más años (051)",1179,1,15,68,905,129,,5,,56
"Hombres (052)",380,,12,34,215,70,,5,,44
"Mujeres (053)",799,1,3,34,690,59,,,,12
