"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PURUS (000)",36,8,28
"De 14 a 29 años (001)",23,7,16
"De 30 a 44 años (002)",12,1,11
"De 45 a 64 años (003)",1,,1
"Hombres (005)",31,6,25
"De 14 a 29 años (006)",18,5,13
"De 30 a 44 años (007)",12,1,11
"De 45 a 64 años (008)",1,,1
"Mujeres (010)",5,2,3
"De 14 a 29 años (011)",5,2,3
,,,
"AREA URBANA (015)",30,5,25
"De 14 a 29 años (016)",18,5,13
"De 30 a 44 años (017)",11,,11
"De 45 a 64 años (018)",1,,1
"Hombres (020)",25,3,22
"De 14 a 29 años (021)",13,3,10
"De 30 a 44 años (022)",11,,11
"De 45 a 64 años (023)",1,,1
"Mujeres (025)",5,2,3
"De 14 a 29 años (026)",5,2,3
,,,
"AREA RURAL (030)",6,3,3
"De 14 a 29 años (031)",5,2,3
"De 30 a 44 años (032)",1,1,
"Hombres (035)",6,3,3
"De 14 a 29 años (036)",5,2,3
"De 30 a 44 años (037)",1,1,
