"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PURUS (000)",851,165,420,130,39,11,6,1,,,79
"Conviviente (001)",591,130,297,86,21,7,,,,,50
"Separado(a) (002)",33,6,16,4,2,,1,,,,4
"Casado(a) (003)",119,15,63,20,10,1,1,1,,,8
"Viudo(a) (004)",52,7,23,11,2,1,1,,,,7
"Divorciado(a) (005)",2,,,1,,,,,,,1
"Soltero(a) (006)",54,7,21,8,4,2,3,,,,9
,,,,,,,,,,,
"URBANA (008)",285,26,122,58,25,8,5,1,,,40
"Conviviente (009)",173,16,78,38,13,4,,,,,24
"Separado(a) (010)",13,1,6,2,1,,,,,,3
"Casado(a) (011)",53,4,25,12,6,1,1,1,,,3
"Viudo(a) (012)",12,3,3,1,1,1,1,,,,2
"Divorciado(a) (013)",1,,,,,,,,,,1
"Soltero(a) (014)",33,2,10,5,4,2,3,,,,7
,,,,,,,,,,,
"RURAL (016)",566,139,298,72,14,3,1,,,,39
"Conviviente (017)",418,114,219,48,8,3,,,,,26
"Separado(a) (018)",20,5,10,2,1,,1,,,,1
"Casado(a) (019)",66,11,38,8,4,,,,,,5
"Viudo(a) (020)",40,4,20,10,1,,,,,,5
"Divorciado(a) (021)",1,,,1,,,,,,,
"Soltero(a) (022)",21,5,11,3,,,,,,,2
