"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ATALAYA (000)",9243,802,4814,1429,409,146,79,27,7,,1530
"Catolica (001)",4801,332,2459,864,255,91,46,19,3,,732
"Cristiana / Evangelica (002)",2067,187,1096,297,91,34,14,5,1,,342
"Otra (003)",482,28,286,80,18,5,2,,,,63
"Ninguna (004)",1893,255,973,188,45,16,17,3,3,,393
,,,,,,,,,,,
"URBANA (006)",3566,124,1745,809,249,86,45,15,3,,490
"Catolica (007)",2331,66,1095,571,178,63,33,11,2,,312
"Cristiana / Evangelica (008)",771,36,403,157,50,18,8,3,1,,95
"Otra (009)",276,9,151,53,15,5,2,,,,41
"Ninguna (010)",188,13,96,28,6,,2,1,,,42
,,,,,,,,,,,
"RURAL (012)",5677,678,3069,620,160,60,34,12,4,,1040
"Catolica (013)",2470,266,1364,293,77,28,13,8,1,,420
"Cristiana / Evangelica (014)",1296,151,693,140,41,16,6,2,,,247
"Otra (015)",206,19,135,27,3,,,,,,22
"Ninguna (016)",1705,242,877,160,39,16,15,2,3,,351
