"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CORONGO (000)",7889,1449,663,127,5660
"Quechua (001)",745,22,29,7,690
"Otra lengua nativa (004)",2,,,,2
"Castellano (005)",7128,1426,634,120,4955
"Es Sordomudo/a (007)",14,1,,,13
"Hombres (009)",4032,756,347,77,2860
"Quechua (010)",313,10,12,4,289
"Otra lengua nativa (013)",1,,,,1
"Castellano (014)",3710,745,335,73,2563
"Es Sordomudo/a (016)",8,1,,,7
"Mujeres (018)",3857,693,316,50,2800
"Quechua (019)",432,12,17,3,401
"Otra lengua nativa (022)",1,,,,1
"Castellano (023)",3418,681,299,47,2392
"Es Sordomudo/a (025)",6,,,,6
,,,,,
"URBANA (027)",3915,643,537,99,2645
"Quechua (028)",402,21,27,6,351
"Otra lengua nativa (031)",1,,,,1
"Castellano (032)",3506,622,510,93,2287
"Es Sordomudo/a (034)",6,,,,6
"Hombres (036)",2010,338,281,59,1339
"Quechua (037)",164,10,11,4,141
"Otra lengua nativa (040)",1,,,,1
"Castellano (041)",1841,328,270,55,1193
"Es Sordomudo/a (043)",4,,,,4
"Mujeres (045)",1905,305,256,40,1306
"Quechua (046)",238,11,16,2,210
"Castellano (050)",1665,294,240,38,1094
"Es Sordomudo/a (052)",2,,,,2
,,,,,
"RURAL (054)",3974,806,126,28,3015
"Quechua (055)",343,1,2,1,339
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",3622,804,124,27,2668
"Es Sordomudo/a (061)",8,1,,,7
"Hombres (063)",2022,418,66,18,1521
"Quechua (064)",149,,1,,148
"Castellano (068)",1869,417,65,18,1370
"Es Sordomudo/a (070)",4,1,,,3
"Mujeres (072)",1952,388,60,10,1494
"Quechua (073)",194,1,1,1,191
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",1753,387,59,9,1298
"Es Sordomudo/a (079)",4,,,,4
