"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia HUAROCHIRI",,,,,,,,,
"Viviendas particulares (001)",18458,7144,2126,1776,846,413,5333,535,285
"Ocupantes presentes (002)",69102,28492,8210,6089,3068,1479,19280,1580,904
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",16749,6632,1765,1715,655,392,4823,497,270
"Ocupantes presentes (005)",63469,26755,6968,5914,2594,1405,17514,1456,863
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",192,179,12,,,,,1,
"Ocupantes presentes (008)",605,566,38,,,,,1,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",437,213,218,,,,,6,
"Ocupantes presentes (011)",1444,727,696,,,,,21,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",362,93,114,38,,3,91,19,4
"Ocupantes presentes (014)",1522,355,453,114,,7,511,72,10
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",510,,,8,183,16,295,3,5
"Ocupantes presentes (017)",1377,,,28,429,58,838,5,19
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",156,14,15,3,4,,109,7,4
"Ocupantes presentes (020)",515,51,47,7,18,,360,23,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",39,13,2,9,,1,13,1,
"Ocupantes presentes (023)",128,38,8,18,,8,55,1,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",13,,,3,4,1,2,1,2
"Ocupantes presentes (026)",42,,,8,27,1,2,1,3
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",12149,6178,1850,1046,16,109,2310,473,167
"Ocupantes presentes (029)",47675,25161,7157,3697,70,437,9244,1434,475
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",10972,5666,1489,997,12,106,2105,438,159
"Ocupantes presentes (032)",43493,23424,5915,3555,52,430,8346,1315,456
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",192,179,12,,,,,1,
"Ocupantes presentes (035)",605,566,38,,,,,1,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",437,213,218,,,,,6,
"Ocupantes presentes (038)",1444,727,696,,,,,21,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",362,93,114,38,,3,91,19,4
"Ocupantes presentes (041)",1522,355,453,114,,7,511,72,10
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",156,14,15,3,4,,109,7,4
"Ocupantes presentes (047)",515,51,47,7,18,,360,23,9
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",26,13,2,5,,,5,1,
"Ocupantes presentes (050)",87,38,8,13,,,27,1,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",4,,,3,,,,1,
"Ocupantes presentes (053)",9,,,8,,,,1,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",6309,966,276,730,830,304,3023,62,118
"Ocupantes presentes (056)",21427,3331,1053,2392,2998,1042,10036,146,429
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",5777,966,276,718,643,286,2718,59,111
"Ocupantes presentes (059)",19976,3331,1053,2359,2542,975,9168,141,407
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",510,,,8,183,16,295,3,5
"Ocupantes presentes (071)",1377,,,28,429,58,838,5,19
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",13,,,4,,1,8,,
"Ocupantes presentes (077)",41,,,5,,8,28,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",9,,,,4,1,2,,2
"Ocupantes presentes (080)",33,,,,27,1,2,,3
