"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PURUS (000)",1053,708,139,45,161
"Sin nivel (001)",103,92,4,3,4
"Primaria (003)",240,213,8,4,15
"Secundaria (004)",397,300,34,13,50
"Superior no univ. incompleta (005)",81,36,19,5,21
"Superior no univ. completa (006)",144,41,57,13,33
"Superior univ. incompleta (007)",30,15,4,2,9
"Superior univ. completa (008)",58,11,13,5,29
"De 06 a 14 años (010)",18,17,1,,
"Sin nivel (011)",5,4,1,,
"Primaria (013)",8,8,,,
"Secundaria (014)",5,5,,,
"De 15 a 29 años (020)",384,266,48,16,54
"Sin nivel (021)",19,16,1,1,1
"Primaria (023)",66,56,2,1,7
"Secundaria (024)",203,158,18,7,20
"Superior no univ. incompleta (025)",30,18,5,1,6
"Superior no univ. completa (026)",41,9,18,2,12
"Superior univ. incompleta (027)",10,5,,1,4
"Superior univ. completa (028)",15,4,4,3,4
"De 30 a 44 años (030)",438,267,71,26,74
"Sin nivel (031)",32,29,,2,1
"Primaria (033)",99,87,4,3,5
"Secundaria (034)",137,105,10,5,17
"Superior no univ. incompleta (035)",41,13,12,4,12
"Superior no univ. completa (036)",85,24,35,9,17
"Superior univ. incompleta (037)",12,5,4,1,2
"Superior univ. completa (038)",32,4,6,2,20
"De 45 a 64 años (040)",187,136,18,3,30
"Sin nivel (041)",35,32,1,,2
"Primaria (043)",58,53,2,,3
"Secundaria (044)",48,31,6,1,10
"Superior no univ. incompleta (045)",10,5,2,,3
"Superior no univ. completa (046)",18,8,4,2,4
"Superior univ. incompleta (047)",7,4,,,3
"Superior univ. completa (048)",11,3,3,,5
"De 65 y más años (050)",26,22,1,,3
"Sin nivel (051)",12,11,1,,
"Primaria (053)",9,9,,,
"Secundaria (054)",4,1,,,3
"Superior univ. incompleta (057)",1,1,,,
,,,,,
"URBANA (060)",470,237,67,25,141
"Sin nivel (061)",12,8,,,4
"Primaria (063)",63,48,3,2,10
"Secundaria (064)",182,115,19,4,44
"Superior no univ. incompleta (065)",50,24,8,1,17
"Superior no univ. completa (066)",91,23,28,11,29
"Superior univ. incompleta (067)",23,9,3,2,9
"Superior univ. completa (068)",49,10,6,5,28
"De 06 a 14 años (070)",13,13,,,
"Sin nivel (071)",2,2,,,
