"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CUSCO (000)",5859,1244,4615
"Sin nivel (001)",106,16,90
"Educación inicial (002)",4,,4
"Primaria (003)",590,110,480
"Secundaria (004)",2337,555,1782
"Superior no univ. incompleta (005)",491,97,394
"Superior no univ. completa (006)",713,151,562
"Superior univ. incompleta (007)",551,126,425
"Superior univ. completa (008)",1067,189,878
"De 14 a 29 años (010)",2926,910,2016
"Sin nivel (011)",20,7,13
"Educación inicial (012)",1,,1
"Primaria (013)",178,57,121
"Secundaria (014)",1315,423,892
"Superior no univ. incompleta (015)",321,81,240
"Superior no univ. completa (016)",379,110,269
"Superior univ. incompleta (017)",318,109,209
"Superior univ. completa (018)",394,123,271
"De 30 a 44 años (020)",1855,279,1576
"Sin nivel (021)",31,7,24
"Educación inicial (022)",3,,3
"Primaria (023)",195,41,154
"Secundaria (024)",675,115,560
"Superior no univ. incompleta (025)",118,15,103
"Superior no univ. completa (026)",270,36,234
"Superior univ. incompleta (027)",129,11,118
"Superior univ. completa (028)",434,54,380
"De 45 a 64 años (030)",943,55,888
"Sin nivel (031)",35,2,33
"Primaria (033)",168,12,156
"Secundaria (034)",312,17,295
"Superior no univ. incompleta (035)",48,1,47
"Superior no univ. completa (036)",55,5,50
"Superior univ. incompleta (037)",99,6,93
"Superior univ. completa (038)",226,12,214
"De 65 y más años (040)",135,,135
"Sin nivel (041)",20,,20
"Primaria (043)",49,,49
"Secundaria (044)",35,,35
"Superior no univ. incompleta (045)",4,,4
"Superior no univ. completa (046)",9,,9
"Superior univ. incompleta (047)",5,,5
"Superior univ. completa (048)",13,,13
,,,
"AREA URBANA (050)",5738,1189,4549
"Sin nivel (051)",97,16,81
"Educación inicial (052)",4,,4
"Primaria (053)",559,99,460
"Secundaria (054)",2272,518,1754
"Superior no univ. incompleta (055)",487,95,392
"Superior no univ. completa (056)",707,149,558
"Superior univ. incompleta (057)",548,124,424
"Superior univ. completa (058)",1064,188,876
"De 14 a 29 años (060)",2859,869,1990
"Sin nivel (061)",19,7,12
"Educación inicial (062)",1,,1
"Primaria (063)",165,50,115
"Secundaria (064)",1273,393,880
"Superior no univ. incompleta (065)",318,80,238
"Superior no univ. completa (066)",374,109,265
"Superior univ. incompleta (067)",317,108,209
"Superior univ. completa (068)",392,122,270
"De 30 a 44 años (070)",1823,270,1553
"Sin nivel (071)",30,7,23
"Educación inicial (072)",3,,3
"Primaria (073)",186,40,146
"Secundaria (074)",657,109,548
"Superior no univ. incompleta (075)",117,14,103
"Superior no univ. completa (076)",270,36,234
"Superior univ. incompleta (077)",127,10,117
"Superior univ. completa (078)",433,54,379
"De 45 a 64 años (080)",925,50,875
"Sin nivel (081)",32,2,30
"Primaria (083)",159,9,150
"Secundaria (084)",307,16,291
"Superior no univ. incompleta (085)",48,1,47
"Superior no univ. completa (086)",54,4,50
"Superior univ. incompleta (087)",99,6,93
"Superior univ. completa (088)",226,12,214
"De 65 y más años (090)",131,,131
"Sin nivel (091)",16,,16
"Primaria (093)",49,,49
"Secundaria (094)",35,,35
"Superior no univ. incompleta (095)",4,,4
"Superior no univ. completa (096)",9,,9
"Superior univ. incompleta (097)",5,,5
"Superior univ. completa (098)",13,,13
,,,
"AREA RURAL (100)",121,55,66
"Sin nivel (101)",9,,9
"Primaria (103)",31,11,20
"Secundaria (104)",65,37,28
"Superior no univ. incompleta (105)",4,2,2
"Superior no univ. completa (106)",6,2,4
"Superior univ. incompleta (107)",3,2,1
"Superior univ. completa (108)",3,1,2
"De 14 a 29 años (110)",67,41,26
"Sin nivel (111)",1,,1
"Primaria (113)",13,7,6
"Secundaria (114)",42,30,12
"Superior no univ. incompleta (115)",3,1,2
"Superior no univ. completa (116)",5,1,4
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",2,1,1
"De 30 a 44 años (120)",32,9,23
"Sin nivel (121)",1,,1
"Primaria (123)",9,1,8
"Secundaria (124)",18,6,12
"Superior no univ. incompleta (125)",1,1,
"Superior univ. incompleta (127)",2,1,1
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",18,5,13
"Sin nivel (131)",3,,3
"Primaria (133)",9,3,6
"Secundaria (134)",5,1,4
"Superior no univ. completa (136)",1,1,
"De 65 y más años (140)",4,,4
"Sin nivel (141)",4,,4
