"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia AREQUIPA (000)",237623,221531,207097,11756,2678,16092,834,2701,11627,930
"Casa independiente (001)",214486,201754,190141,9312,2301,12732,571,2584,8834,743
"Departamento en edificio (002)",9193,8678,8068,538,72,515,192,84,196,43
"Vivienda en quinta (003)",3857,3666,3480,175,11,191,33,26,111,21
"Vivienda en casa de vecindad (004)",3747,3602,3430,158,14,145,38,7,82,18
"Choza o cabaña (005)",1331,1168,789,217,162,163,,,155,8
"Vivienda improvisada (006)",4591,2245,771,1356,118,2346,,,2249,97
"Local no dest.para hab. humana (007)",356,356,356,,,,,,,
"Otro tipo (008)",62,62,62,,,,,,,
,,,,,,,,,,
"URBANA (009)",227473,212622,200486,10772,1364,14851,813,2521,10683,834
"Casa independiente (010)",205676,194022,184328,8545,1149,11654,550,2404,8045,655
"Departamento en edificio (011)",9193,8678,8068,538,72,515,192,84,196,43
"Vivienda en quinta (012)",3857,3666,3480,175,11,191,33,26,111,21
"Vivienda en casa de vecindad (013)",3747,3602,3430,158,14,145,38,7,82,18
"Vivienda improvisada (015)",4591,2245,771,1356,118,2346,,,2249,97
"Local no dest.para hab. humana (016)",351,351,351,,,,,,,
"Otro tipo (017)",58,58,58,,,,,,,
,,,,,,,,,,
"RURAL (018)",10150,8909,6611,984,1314,1241,21,180,944,96
"Casa independiente (019)",8810,7732,5813,767,1152,1078,21,180,789,88
"Choza o cabaña (023)",1331,1168,789,217,162,163,,,155,8
"Local no dest.para hab. humana (025)",5,5,5,,,,,,,
"Otro tipo (026)",4,4,4,,,,,,,
