"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia SAN ROMAN",,,,,,,,,
"Hogares (001)",63648,1711,844,677,580,391,247,218,58980
"Ocupantes presentes (002)",238281,5296,2588,2164,2203,1813,1207,1278,221732
"Casa independiente",,,,,,,,,
"Hogares (004)",56116,1497,725,593,515,351,219,199,52017
"Ocupantes presentes (005)",213002,4731,2257,1899,1959,1632,1099,1208,198217
"Departamento en edificio",,,,,,,,,
"Hogares (007)",763,42,19,11,7,7,3,2,672
"Ocupantes presentes (008)",2475,120,50,40,25,20,11,10,2199
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",776,25,11,13,7,4,3,4,709
"Ocupantes presentes (011)",2738,77,38,47,26,25,8,9,2508
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",5663,140,81,57,51,28,22,13,5271
"Ocupantes presentes (014)",19087,351,227,171,193,131,89,51,17874
"Choza o cabaña",,,,,,,,,
"Hogares (016)",241,2,3,,,,,,236
"Ocupantes presentes (017)",727,5,6,,,,,,716
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",16,3,1,,,,,,12
"Ocupantes presentes (020)",48,10,2,,,,,,36
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",54,2,4,3,,1,,,44
"Ocupantes presentes (023)",155,2,8,7,,5,,,133
"Otro tipo",,,,,,,,,
"Hogares (025)",19,,,,,,,,19
"Ocupantes presentes (026)",49,,,,,,,,49
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",57685,1649,822,662,568,382,243,215,53144
"Ocupantes presentes (029)",218183,5115,2520,2112,2149,1773,1191,1255,202068
"Casa independiente",,,,,,,,,
"Hogares (031)",50395,1437,706,578,503,342,215,196,46418
"Ocupantes presentes (032)",193636,4555,2195,1847,1905,1592,1083,1185,179274
"Departamento en edificio",,,,,,,,,
"Hogares (034)",763,42,19,11,7,7,3,2,672
"Ocupantes presentes (035)",2475,120,50,40,25,20,11,10,2199
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",776,25,11,13,7,4,3,4,709
"Ocupantes presentes (038)",2738,77,38,47,26,25,8,9,2508
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",5663,140,81,57,51,28,22,13,5271
"Ocupantes presentes (041)",19087,351,227,171,193,131,89,51,17874
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",16,3,1,,,,,,12
"Ocupantes presentes (047)",48,10,2,,,,,,36
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",53,2,4,3,,1,,,43
"Ocupantes presentes (050)",150,2,8,7,,5,,,128
"Otro tipo",,,,,,,,,
"Hogares (052)",19,,,,,,,,19
"Ocupantes presentes (053)",49,,,,,,,,49
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",5963,62,22,15,12,9,4,3,5836
"Ocupantes presentes (056)",20098,181,68,52,54,40,16,23,19664
"Casa independiente",,,,,,,,,
"Hogares (058)",5721,60,19,15,12,9,4,3,5599
"Ocupantes presentes (059)",19366,176,62,52,54,40,16,23,18943
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",241,2,3,,,,,,236
"Ocupantes presentes (071)",727,5,6,,,,,,716
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
