"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia JORGE BASADRE (000)",3482,468,807,663,1544
"Asiste actualmente (001)",2019,287,771,613,348
"No asiste (002)",1463,181,36,50,1196
"Hombres (004)",2004,242,417,332,1013
"Asiste actualmente (005)",1091,155,399,306,231
"No asiste (006)",913,87,18,26,782
"Mujeres (008)",1478,226,390,331,531
"Asiste actualmente (009)",928,132,372,307,117
"No asiste (010)",550,94,18,24,414
,,,,,
"URBANA (012)",2218,266,483,426,1043
"Asiste actualmente (013)",1301,190,462,397,252
"No asiste (014)",917,76,21,29,791
"Hombres (016)",1321,137,249,207,728
"Asiste actualmente (017)",712,101,239,195,177
"No asiste (018)",609,36,10,12,551
"Mujeres (020)",897,129,234,219,315
"Asiste actualmente (021)",589,89,223,202,75
"No asiste (022)",308,40,11,17,240
,,,,,
"RURAL (024)",1264,202,324,237,501
"Asiste actualmente (025)",718,97,309,216,96
"No asiste (026)",546,105,15,21,405
"Hombres (028)",683,105,168,125,285
"Asiste actualmente (029)",379,54,160,111,54
"No asiste (030)",304,51,8,14,231
"Mujeres (032)",581,97,156,112,216
"Asiste actualmente (033)",339,43,149,105,42
"No asiste (034)",242,54,7,7,174
