"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia COTABAMBAS (000)",38422,8387,652,18854,8264,585,886,158,636
"Hombres (001)",19455,2386,294,10121,5231,367,548,108,400
"Mujeres (002)",18967,6001,358,8733,3033,218,338,50,236
"PEA (003)",8520,1494,20,3108,2273,253,715,103,554
"Hombres (004)",6385,857,11,2533,1894,193,467,76,354
"Mujeres (005)",2135,637,9,575,379,60,248,27,200
"Ocupada (006)",7522,1316,17,2616,1992,240,695,100,546
"Hombres (007)",5534,722,9,2104,1642,182,453,74,348
"Mujeres (008)",1988,594,8,512,350,58,242,26,198
"Desocupada (009)",998,178,3,492,281,13,20,3,8
"Hombres (010)",851,135,2,429,252,11,14,2,6
"Mujeres (011)",147,43,1,63,29,2,6,1,2
"No PEA (012)",29902,6893,632,15746,5991,332,171,55,82
"Hombres (013)",13070,1529,283,7588,3337,174,81,32,46
"Mujeres (014)",16832,5364,349,8158,2654,158,90,23,36
,,,,,,,,,
"URBANA (018)",10489,1105,143,4172,3165,444,754,144,562
"Hombres (019)",5370,248,74,2025,1850,266,454,97,356
"Mujeres (020)",5119,857,69,2147,1315,178,300,47,206
"PEA (021)",3673,238,3,843,1169,208,619,98,495
"Hombres (022)",2508,107,1,556,900,157,396,72,319
"Mujeres (023)",1165,131,2,287,269,51,223,26,176
"Ocupada (024)",3456,215,3,770,1080,201,604,95,488
"Hombres (025)",2348,98,1,502,824,152,387,70,314
"Mujeres (026)",1108,117,2,268,256,49,217,25,174
"Desocupada (027)",217,23,,73,89,7,15,3,7
"Hombres (028)",160,9,,54,76,5,9,2,5
"Mujeres (029)",57,14,,19,13,2,6,1,2
"No PEA (030)",6816,867,140,3329,1996,236,135,46,67
"Hombres (031)",2862,141,73,1469,950,109,58,25,37
"Mujeres (032)",3954,726,67,1860,1046,127,77,21,30
,,,,,,,,,
"RURAL (036)",27933,7282,509,14682,5099,141,132,14,74
"Hombres (037)",14085,2138,220,8096,3381,101,94,11,44
"Mujeres (038)",13848,5144,289,6586,1718,40,38,3,30
"PEA (039)",4847,1256,17,2265,1104,45,96,5,59
"Hombres (040)",3877,750,10,1977,994,36,71,4,35
"Mujeres (041)",970,506,7,288,110,9,25,1,24
"Ocupada (042)",4066,1101,14,1846,912,39,91,5,58
"Hombres (043)",3186,624,8,1602,818,30,66,4,34
"Mujeres (044)",880,477,6,244,94,9,25,1,24
"Desocupada (045)",781,155,3,419,192,6,5,,1
"Hombres (046)",691,126,2,375,176,6,5,,1
"Mujeres (047)",90,29,1,44,16,,,,
"No PEA (048)",23086,6026,492,12417,3995,96,36,9,15
"Hombres (049)",10208,1388,210,6119,2387,65,23,7,9
"Mujeres (050)",12878,4638,282,6298,1608,31,13,2,6
