"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA MAR (000)",19802,342,8962,5835,1621,545,260,105,15,,2117
"Catolica (001)",13993,230,6213,4173,1225,398,183,76,9,,1486
"Cristiana / Evangelica (002)",5545,104,2623,1594,380,139,74,28,6,,597
"Otra (003)",87,2,37,27,10,3,1,1,,,6
"Ninguna (004)",177,6,89,41,6,5,2,,,,28
,,,,,,,,,,,
"URBANA (006)",8201,161,3483,2341,724,270,142,56,8,,1016
"Catolica (007)",5721,110,2376,1649,552,197,96,39,5,,697
"Cristiana / Evangelica (008)",2346,46,1045,656,162,71,43,16,3,,304
"Otra (009)",43,2,19,12,5,,1,1,,,3
"Ninguna (010)",91,3,43,24,5,2,2,,,,12
,,,,,,,,,,,
"RURAL (012)",11601,181,5479,3494,897,275,118,49,7,,1101
"Catolica (013)",8272,120,3837,2524,673,201,87,37,4,,789
"Cristiana / Evangelica (014)",3199,58,1578,938,218,68,31,12,3,,293
"Otra (015)",44,,18,15,5,3,,,,,3
"Ninguna (016)",86,3,46,17,1,3,,,,,16
