"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia ATALAYA (000)",20892,17488,3404
"Hombres (001)",11200,9463,1737
"Mujeres (002)",9692,8025,1667
"De 18 a 29 años (003)",8797,6676,2121
"Hombres (004)",4423,3305,1118
"Mujeres (005)",4374,3371,1003
"De 30 a 44 años (006)",7082,6419,663
"Hombres (007)",3847,3517,330
"Mujeres (008)",3235,2902,333
"De 45 a 64 años (009)",4137,3670,467
"Hombres (010)",2413,2197,216
"Mujeres (011)",1724,1473,251
"De 65 y más años (012)",876,723,153
"Hombres (013)",517,444,73
"Mujeres (014)",359,279,80
,,,
"URBANA (015)",8284,7821,463
"Hombres (016)",4460,4226,234
"Mujeres (017)",3824,3595,229
"De 18 a 29 años (018)",3238,2886,352
"Hombres (019)",1605,1417,188
"Mujeres (020)",1633,1469,164
"De 30 a 44 años (021)",2969,2909,60
"Hombres (022)",1603,1575,28
"Mujeres (023)",1366,1334,32
"De 45 a 64 años (024)",1686,1658,28
"Hombres (025)",1021,1010,11
"Mujeres (026)",665,648,17
"De 65 y más años (027)",391,368,23
"Hombres (028)",231,224,7
"Mujeres (029)",160,144,16
,,,
"RURAL (030)",12608,9667,2941
"Hombres (031)",6740,5237,1503
"Mujeres (032)",5868,4430,1438
"De 18 a 29 años (033)",5559,3790,1769
"Hombres (034)",2818,1888,930
"Mujeres (035)",2741,1902,839
"De 30 a 44 años (036)",4113,3510,603
"Hombres (037)",2244,1942,302
"Mujeres (038)",1869,1568,301
"De 45 a 64 años (039)",2451,2012,439
"Hombres (040)",1392,1187,205
"Mujeres (041)",1059,825,234
"De 65 y más años (042)",485,355,130
"Hombres (043)",286,220,66
"Mujeres (044)",199,135,64
