"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia RECUAY (000)",356,297,59
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",32,32,
"Hospital, clinica (004)",6,6,
"Cárcel, centro de readaptación social (005)",6,6,
"Otro (008)",91,33,58
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",221,220,1
