"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUPACA (000)",14757,13864,71,2959,2936,2304,3162,1660,628,144,893,47143
"De 12 a 14 años (001)",12,6,2,4,,,,,,,6,4
"De 15 a 19 años (002)",270,234,3,198,28,5,,,,,36,269
"De 20 a 24 años (003)",1355,1005,9,718,216,50,11,1,,,350,1353
"De 25 a 29 años (004)",1597,1395,11,617,467,223,72,5,,,202,2549
"De 30 a 34 años (005)",1617,1523,4,414,532,326,225,21,1,,94,3554
"De 35 a 39 años (006)",1696,1639,3,246,509,367,400,98,14,2,57,4874
"De 40 a 44 años (007)",1538,1513,3,152,322,373,470,148,38,7,25,5313
"De 45 a 49 años (008)",1304,1286,3,120,228,225,421,203,74,12,18,5161
"De 50 y más años (009)",5368,5263,33,490,634,735,1563,1184,501,123,105,24066
"PEA (010)",6671,6290,23,1433,1417,1063,1415,665,222,52,381,20352
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",74,67,,60,7,,,,,,7,74
"De 20 a 24 años (013)",523,382,3,274,85,18,2,,,,141,506
"De 25 a 29 años (014)",731,625,6,290,207,93,26,3,,,106,1107
"De 30 a 34 años (015)",788,736,1,247,234,146,98,10,,,52,1636
"De 35 a 39 años (016)",897,871,,167,276,187,200,36,3,2,26,2431
"De 40 a 44 años (017)",823,812,2,99,195,197,228,67,21,3,11,2700
"De 45 a 49 años (018)",727,716,2,85,138,126,233,99,29,4,11,2693
"De 50 y más años (019)",2106,2079,9,209,275,296,628,450,169,43,27,9203
"Ocupada (020)",6536,6182,23,1392,1389,1049,1397,659,222,51,354,20085
"De 12 a 14 años (021)",2,2,,2,,,,,,,,2
