"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TACNA (000)",71207,626,20092,23090,11033,4424,1742,437,55,,9708
"Catolica (001)",57879,487,16029,18762,9184,3760,1444,350,35,,7828
"Cristiana / Evangelica (002)",6454,76,1998,2066,918,335,138,47,9,,867
"Otra (003)",5006,43,1470,1677,706,257,128,31,9,,685
"Ninguna (004)",1868,20,595,585,225,72,32,9,2,,328
,,,,,,,,,,,
"URBANA (006)",66954,571,18514,21673,10508,4257,1660,424,54,,9293
"Catolica (007)",54429,443,14749,17620,8749,3625,1374,338,35,,7496
"Cristiana / Evangelica (008)",6145,71,1870,1968,885,323,136,47,9,,836
"Otra (009)",4624,37,1341,1535,663,243,121,30,9,,645
"Ninguna (010)",1756,20,554,550,211,66,29,9,1,,316
,,,,,,,,,,,
"RURAL (012)",4253,55,1578,1417,525,167,82,13,1,,415
"Catolica (013)",3450,44,1280,1142,435,135,70,12,,,332
"Cristiana / Evangelica (014)",309,5,128,98,33,12,2,,,,31
"Otra (015)",382,6,129,142,43,14,7,1,,,40
"Ninguna (016)",112,,41,35,14,6,3,,1,,12
