"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUARAZ (000)",52346,17204,8073,21196,952,3328,1593
"Conviviente (001)",14145,3778,2689,6490,248,670,270
"Separado(a) (002)",2340,727,204,1107,32,68,202
"Casado(a) (003)",19256,6425,2700,8450,427,1063,191
"Viudo(a) (004)",1300,177,116,862,29,68,48
"Divorciado(a) (005)",284,153,12,104,6,2,7
"Soltero(a) (006)",15021,5944,2352,4183,210,1457,875
"Hombres (008)",33880,9525,7345,14739,663,1547,61
"Conviviente (009)",10061,2405,2471,4774,179,221,11
"Separado(a) (010)",683,192,132,334,13,12,
"Casado(a) (011)",13280,3898,2515,6234,307,313,13
"Viudo(a) (012)",523,46,81,352,17,27,
"Divorciado(a) (013)",119,67,7,42,3,,
"Soltero(a) (014)",9214,2917,2139,3003,144,974,37
"Mujeres (016)",18466,7679,728,6457,289,1781,1532
"Conviviente (017)",4084,1373,218,1716,69,449,259
"Separado(a) (018)",1657,535,72,773,19,56,202
"Casado(a) (019)",5976,2527,185,2216,120,750,178
"Viudo(a) (020)",777,131,35,510,12,41,48
"Divorciado(a) (021)",165,86,5,62,3,2,7
"Soltero(a) (022)",5807,3027,213,1180,66,483,838
,,,,,,,
"URBANA (024)",41376,16491,5630,15215,881,1762,1397
"Conviviente (025)",10982,3561,1952,4595,232,391,251
"Separado(a) (026)",1966,706,153,869,28,44,166
"Casado(a) (027)",14791,6212,1740,5655,394,613,177
"Viudo(a) (028)",912,168,67,574,26,35,42
"Divorciado(a) (029)",256,146,8,87,6,2,7
"Soltero(a) (030)",12469,5698,1710,3435,195,677,754
"Hombres (032)",25124,9023,5117,9624,601,704,55
"Conviviente (033)",7402,2234,1789,3082,165,122,10
"Separado(a) (034)",558,187,97,253,12,9,
"Casado(a) (035)",9487,3726,1619,3694,274,162,12
"Viudo(a) (036)",289,43,47,172,14,13,
"Divorciado(a) (037)",103,62,4,34,3,,
"Soltero(a) (038)",7285,2771,1561,2389,133,398,33
"Mujeres (040)",16252,7468,513,5591,280,1058,1342
"Conviviente (041)",3580,1327,163,1513,67,269,241
"Separado(a) (042)",1408,519,56,616,16,35,166
"Casado(a) (043)",5304,2486,121,1961,120,451,165
"Viudo(a) (044)",623,125,20,402,12,22,42
"Divorciado(a) (045)",153,84,4,53,3,2,7
"Soltero(a) (046)",5184,2927,149,1046,62,279,721
,,,,,,,
"RURAL (048)",10970,713,2443,5981,71,1566,196
"Conviviente (049)",3163,217,737,1895,16,279,19
"Separado(a) (050)",374,21,51,238,4,24,36
"Casado(a) (051)",4465,213,960,2795,33,450,14
"Viudo(a) (052)",388,9,49,288,3,33,6
"Divorciado(a) (053)",28,7,4,17,,,
"Soltero(a) (054)",2552,246,642,748,15,780,121
"Hombres (056)",8756,502,2228,5115,62,843,6
"Conviviente (057)",2659,171,682,1692,14,99,1
"Separado(a) (058)",125,5,35,81,1,3,
"Casado(a) (059)",3793,172,896,2540,33,151,1
"Viudo(a) (060)",234,3,34,180,3,14,
"Divorciado(a) (061)",16,5,3,8,,,
"Soltero(a) (062)",1929,146,578,614,11,576,4
"Mujeres (064)",2214,211,215,866,9,723,190
"Conviviente (065)",504,46,55,203,2,180,18
"Separado(a) (066)",249,16,16,157,3,21,36
"Casado(a) (067)",672,41,64,255,,299,13
"Viudo(a) (068)",154,6,15,108,,19,6
"Divorciado(a) (069)",12,2,1,9,,,
"Soltero(a) (070)",623,100,64,134,4,204,117
