"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia DANIEL ALCIDES CARRION (000)",1371,523,848
"De 14 a 29 años (001)",745,404,341
"De 30 a 44 años (002)",409,94,315
"De 45 a 64 años (003)",172,25,147
"De 65 y más años (004)",45,,45
"Hombres (005)",1006,325,681
"De 14 a 29 años (006)",493,251,242
"De 30 a 44 años (007)",319,54,265
"De 45 a 64 años (008)",152,20,132
"De 65 y más años (009)",42,,42
"Mujeres (010)",365,198,167
"De 14 a 29 años (011)",252,153,99
"De 30 a 44 años (012)",90,40,50
"De 45 a 64 años (013)",20,5,15
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",714,240,474
"De 14 a 29 años (016)",399,186,213
"De 30 a 44 años (017)",196,44,152
"De 45 a 64 años (018)",90,10,80
"De 65 y más años (019)",29,,29
"Hombres (020)",514,147,367
"De 14 a 29 años (021)",258,115,143
"De 30 a 44 años (022)",150,24,126
"De 45 a 64 años (023)",80,8,72
"De 65 y más años (024)",26,,26
"Mujeres (025)",200,93,107
"De 14 a 29 años (026)",141,71,70
"De 30 a 44 años (027)",46,20,26
"De 45 a 64 años (028)",10,2,8
"De 65 y más años (029)",3,,3
,,,
"AREA RURAL (030)",657,283,374
"De 14 a 29 años (031)",346,218,128
"De 30 a 44 años (032)",213,50,163
"De 45 a 64 años (033)",82,15,67
"De 65 y más años (034)",16,,16
"Hombres (035)",492,178,314
"De 14 a 29 años (036)",235,136,99
"De 30 a 44 años (037)",169,30,139
"De 45 a 64 años (038)",72,12,60
"De 65 y más años (039)",16,,16
"Mujeres (040)",165,105,60
"De 14 a 29 años (041)",111,82,29
"De 30 a 44 años (042)",44,20,24
"De 45 a 64 años (043)",10,3,7
