"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CUSCO (000)",163673,20120,41621,38698,63234
"Asiste actualmente (001)",124927,10569,40232,36600,37526
"No asiste (002)",38746,9551,1389,2098,25708
"Hombres (004)",80778,10210,21151,18913,30504
"Asiste actualmente (005)",62190,5350,20464,17923,18453
"No asiste (006)",18588,4860,687,990,12051
"Mujeres (008)",82895,9910,20470,19785,32730
"Asiste actualmente (009)",62737,5219,19768,18677,19073
"No asiste (010)",20158,4691,702,1108,13657
,,,,,
"URBANA (012)",155854,18902,38951,36723,61278
"Asiste actualmente (013)",119038,9910,37664,34746,36718
"No asiste (014)",36816,8992,1287,1977,24560
"Hombres (016)",76747,9606,19773,17885,29483
"Asiste actualmente (017)",59122,5021,19143,16961,17997
"No asiste (018)",17625,4585,630,924,11486
"Mujeres (020)",79107,9296,19178,18838,31795
"Asiste actualmente (021)",59916,4889,18521,17785,18721
"No asiste (022)",19191,4407,657,1053,13074
,,,,,
"RURAL (024)",7819,1218,2670,1975,1956
"Asiste actualmente (025)",5889,659,2568,1854,808
"No asiste (026)",1930,559,102,121,1148
"Hombres (028)",4031,604,1378,1028,1021
"Asiste actualmente (029)",3068,329,1321,962,456
"No asiste (030)",963,275,57,66,565
"Mujeres (032)",3788,614,1292,947,935
"Asiste actualmente (033)",2821,330,1247,892,352
"No asiste (034)",967,284,45,55,583
