"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CANDARAVE (000)",2810,8197,1767,5260,1043,2937
"Casa independiente (001)",2625,7785,1721,5138,904,2647
"Vivienda en quinta (003)",2,6,2,6,,
"Vivienda en casa de vecindad (004)",37,101,37,101,,
"Choza o cabaña (005)",138,289,,,138,289
"Vivienda improvisada (006)",3,4,3,4,,
"Local no dest.para hab. humana (007)",5,12,4,11,1,1
