"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YUNGUYO (000)",12723,63,4117,4652,1509,551,246,88,18,,1479
"Conviviente (001)",1919,6,578,690,238,74,37,8,4,,284
"Separado(a) (002)",404,3,125,140,63,24,14,7,,,28
"Casado(a) (003)",8114,38,2778,3158,984,348,157,61,8,,582
"Viudo(a) (004)",1506,7,532,537,169,76,28,11,6,,140
"Divorciado(a) (005)",57,2,22,16,4,4,2,,,,7
"Soltero(a) (006)",723,7,82,111,51,25,8,1,,,438
,,,,,,,,,,,
"URBANA (008)",4639,26,1247,1573,652,243,117,36,7,,738
"Conviviente (009)",996,3,250,356,151,48,24,6,1,,157
"Separado(a) (010)",177,2,54,49,31,13,8,4,,,16
"Casado(a) (011)",2665,17,773,965,390,145,71,22,3,,279
"Viudo(a) (012)",426,1,126,143,51,24,8,4,3,,66
"Divorciado(a) (013)",26,,9,7,3,1,1,,,,5
"Soltero(a) (014)",349,3,35,53,26,12,5,,,,215
,,,,,,,,,,,
"RURAL (016)",8084,37,2870,3079,857,308,129,52,11,,741
"Conviviente (017)",923,3,328,334,87,26,13,2,3,,127
"Separado(a) (018)",227,1,71,91,32,11,6,3,,,12
"Casado(a) (019)",5449,21,2005,2193,594,203,86,39,5,,303
"Viudo(a) (020)",1080,6,406,394,118,52,20,7,3,,74
"Divorciado(a) (021)",31,2,13,9,1,3,1,,,,2
"Soltero(a) (022)",374,4,47,58,25,13,3,1,,,223
