"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OXAPAMPA (000)",19107,539,9117,5233,1563,518,249,67,10,,1811
"Catolica (001)",11145,288,4801,3292,1098,371,159,46,6,,1084
"Cristiana / Evangelica (002)",4932,129,2659,1261,301,108,61,16,3,,394
"Otra (003)",1588,55,859,378,93,23,21,3,,,156
"Ninguna (004)",1442,67,798,302,71,16,8,2,1,,177
,,,,,,,,,,,
"URBANA (006)",7710,137,3056,2384,844,310,146,35,4,,794
"Catolica (007)",5259,77,1934,1668,652,239,107,28,4,,550
"Cristiana / Evangelica (008)",1721,39,781,509,131,55,30,7,,,169
"Otra (009)",480,10,216,149,41,14,5,,,,45
"Ninguna (010)",250,11,125,58,20,2,4,,,,30
,,,,,,,,,,,
"RURAL (012)",11397,402,6061,2849,719,208,103,32,6,,1017
"Catolica (013)",5886,211,2867,1624,446,132,52,18,2,,534
"Cristiana / Evangelica (014)",3211,90,1878,752,170,53,31,9,3,,225
"Otra (015)",1108,45,643,229,52,9,16,3,,,111
"Ninguna (016)",1192,56,673,244,51,14,4,2,1,,147
