"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUERTO INCA (000)",10588,9497,553,180,358
"Agric., ganadería, caza y silvicultura (001)",8249,7856,341,44,8
"Pesca (002)",9,9,,,
"Explotación de minas y canteras (003)",79,56,21,,2
"Industrias manufactureras (004)",194,161,28,5,
"Suministro de electricidad, gas y agua (005)",2,,,2,
"Construcción (006)",166,102,25,34,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",448,427,16,5,
"Venta, mant.y rep. veh.autom y motoc. (008)",41,36,2,3,
"Comercio al por mayor (009)",19,16,3,,
"Comercio al por menor (010)",388,375,11,2,
"Hoteles y restaurantes (011)",200,185,11,4,
"Trans., almac. y comunicaciones (012)",165,146,10,8,1
"Intermediación financiera (013)",2,,,1,1
"Activid.inmobil., empres. y alquileres (014)",29,12,4,9,4
"Admin.pub. y defensa; p. segur soc.afil (015)",177,,,,177
"Enseñanza (016)",355,131,81,53,90
"Servicios sociales y de salud (017)",87,13,4,1,69
"Otras activ. serv.comun.soc y personales (018)",54,44,6,4,
"Hogares privados con servicio doméstico (019)",200,200,,,
"Actividad economica no especificada (021)",172,155,6,10,1
"Hombres (022)",8586,7756,446,137,247
"Agric., ganadería, caza y silvicultura (023)",7129,6810,284,29,6
"Pesca (024)",7,7,,,
"Explotación de minas y canteras (025)",75,52,21,,2
"Industrias manufactureras (026)",178,147,28,3,
"Suministro de electricidad, gas y agua (027)",2,,,2,
"Construcción (028)",164,102,25,33,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",252,233,14,5,
"Venta, mant.y rep. veh.autom y motoc. (030)",36,31,2,3,
"Comercio al por mayor (031)",15,12,3,,
"Comercio al por menor (032)",201,190,9,2,
"Hoteles y restaurantes (033)",29,19,6,4,
"Trans., almac. y comunicaciones (034)",155,136,10,8,1
"Intermediación financiera (035)",1,,,1,
"Activid.inmobil., empres. y alquileres (036)",23,9,3,8,3
"Admin.pub. y defensa; p. segur soc.afil (037)",153,,,,153
"Enseñanza (038)",191,65,46,31,49
"Servicios sociales y de salud (039)",40,8,3,,29
"Otras activ. serv.comun.soc y personales (040)",24,17,3,4,
"Hogares privados con servicio doméstico (041)",119,119,,,
"Actividad economica no especificada (043)",44,32,3,9,
"Mujeres (044)",2002,1741,107,43,111
