"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia QUISPICANCHI",,,,
"Viviendas particulares (001)",12608,7213,4465,930
"Ocupantes presentes (002)",52764,29604,19200,3960
"Casa independiente",,,,
"Viviendas particulares (004)",12292,7126,4436,730
"Ocupantes presentes (005)",51611,29291,19117,3203
"Departamento en edificio",,,,
"Viviendas particulares (007)",22,20,2,
"Ocupantes presentes (008)",86,83,3,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",33,29,4,
"Ocupantes presentes (011)",105,98,7,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",55,34,19,2
"Ocupantes presentes (014)",199,127,63,9
"Choza o cabaña",,,,
"Viviendas particulares (016)",195,,,195
"Ocupantes presentes (017)",741,,,741
"Vivienda improvisada",,,,
"Viviendas particulares (019)",2,,2,
"Ocupantes presentes (020)",5,,5,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",9,4,2,3
"Ocupantes presentes (023)",17,5,5,7
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",11244,6383,3997,864
"Ocupantes presentes (029)",47199,26339,17152,3708
"Casa independiente",,,,
"Viviendas particulares (031)",10946,6308,3969,669
"Ocupantes presentes (032)",46093,26053,17070,2970
"Departamento en edificio",,,,
"Viviendas particulares (034)",19,17,2,
"Ocupantes presentes (035)",76,73,3,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",25,21,4,
"Ocupantes presentes (038)",95,88,7,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",53,33,18,2
"Ocupantes presentes (041)",191,120,62,9
"Choza o cabaña",,,,
"Viviendas particulares (043)",191,,,191
"Ocupantes presentes (044)",725,,,725
"Vivienda improvisada",,,,
"Viviendas particulares (046)",2,,2,
"Ocupantes presentes (047)",5,,5,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",8,4,2,2
"Ocupantes presentes (050)",14,5,5,4
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",1364,830,468,66
"Ocupantes presentes (056)",5565,3265,2048,252
"Casa independiente",,,,
"Viviendas particulares (058)",1346,818,467,61
"Ocupantes presentes (059)",5518,3238,2047,233
"Departamento en edificio",,,,
"Viviendas particulares (061)",3,3,,
"Ocupantes presentes (062)",10,10,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",8,8,,
"Ocupantes presentes (065)",10,10,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",2,1,1,
"Ocupantes presentes (068)",8,7,1,
"Choza o cabaña",,,,
"Viviendas particulares (070)",4,,,4
"Ocupantes presentes (071)",16,,,16
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,,,1
"Ocupantes presentes (077)",3,,,3
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",6060,4023,1838,199
"Ocupantes presentes (110)",24710,16333,7590,787
"Casa independiente",,,,
"Viviendas particulares (112)",5940,3936,1809,195
"Ocupantes presentes (113)",24301,16020,7507,774
"Departamento en edificio",,,,
"Viviendas particulares (115)",22,20,2,
"Ocupantes presentes (116)",86,83,3,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",33,29,4,
"Ocupantes presentes (119)",105,98,7,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",55,34,19,2
"Ocupantes presentes (122)",199,127,63,9
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",2,,2,
"Ocupantes presentes (128)",5,,5,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",8,4,2,2
"Ocupantes presentes (131)",14,5,5,4
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",5275,3442,1664,169
"Ocupantes presentes (137)",21724,14115,6912,697
"Casa independiente",,,,
"Viviendas particulares (139)",5169,3367,1636,166
"Ocupantes presentes (140)",21346,13829,6830,687
"Departamento en edificio",,,,
"Viviendas particulares (142)",19,17,2,
"Ocupantes presentes (143)",76,73,3,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",25,21,4,
"Ocupantes presentes (146)",95,88,7,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",53,33,18,2
"Ocupantes presentes (149)",191,120,62,9
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",2,,2,
"Ocupantes presentes (155)",5,,5,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",7,4,2,1
"Ocupantes presentes (158)",11,5,5,1
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",785,581,174,30
"Ocupantes presentes (164)",2986,2218,678,90
"Casa independiente",,,,
"Viviendas particulares (166)",771,569,173,29
"Ocupantes presentes (167)",2955,2191,677,87
"Departamento en edificio",,,,
"Viviendas particulares (169)",3,3,,
"Ocupantes presentes (170)",10,10,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",8,8,,
"Ocupantes presentes (173)",10,10,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",2,1,1,
"Ocupantes presentes (176)",8,7,1,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",1,,,1
"Ocupantes presentes (185)",3,,,3
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",6548,3190,2627,731
"Ocupantes presentes (218)",28054,13271,11610,3173
"Casa independiente",,,,
"Viviendas particulares (220)",6352,3190,2627,535
"Ocupantes presentes (221)",27310,13271,11610,2429
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",195,,,195
"Ocupantes presentes (233)",741,,,741
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,,,1
"Ocupantes presentes (239)",3,,,3
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",5969,2941,2333,695
"Ocupantes presentes (245)",25475,12224,10240,3011
"Casa independiente",,,,
"Viviendas particulares (247)",5777,2941,2333,503
"Ocupantes presentes (248)",24747,12224,10240,2283
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",191,,,191
"Ocupantes presentes (260)",725,,,725
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,,,1
"Ocupantes presentes (266)",3,,,3
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",579,249,294,36
"Ocupantes presentes (272)",2579,1047,1370,162
"Casa independiente",,,,
"Viviendas particulares (274)",575,249,294,32
"Ocupantes presentes (275)",2563,1047,1370,146
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",4,,,4
"Ocupantes presentes (287)",16,,,16
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
