"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BAGUA (000)",17106,426,8134,4509,1398,436,194,62,10,,1937
"Catolica (001)",8781,177,3743,2481,872,293,127,31,5,,1052
"Cristiana / Evangelica (002)",5443,176,2833,1377,358,100,48,24,1,,526
"Otra (003)",1607,39,838,393,105,27,11,3,2,,189
"Ninguna (004)",1275,34,720,258,63,16,8,4,2,,170
,,,,,,,,,,,
"URBANA (006)",8919,171,3479,2609,938,327,139,47,5,,1204
"Catolica (007)",5807,103,2126,1728,665,240,103,27,5,,810
"Cristiana / Evangelica (008)",2092,50,905,607,189,61,27,15,,,238
"Otra (009)",602,10,251,173,60,16,5,3,,,84
"Ninguna (010)",418,8,197,101,24,10,4,2,,,72
,,,,,,,,,,,
"RURAL (012)",8187,255,4655,1900,460,109,55,15,5,,733
"Catolica (013)",2974,74,1617,753,207,53,24,4,,,242
"Cristiana / Evangelica (014)",3351,126,1928,770,169,39,21,9,1,,288
"Otra (015)",1005,29,587,220,45,11,6,,2,,105
"Ninguna (016)",857,26,523,157,39,6,4,2,2,,98
