"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia UTCUBAMBA (000)",35569,2381,33,17995,10293,957,1821,536,1553
"Empleado (001)",4725,50,1,415,1012,403,1274,311,1259
"Obrero (002)",9447,787,7,5484,2899,115,86,34,35
"Trabajador independiente (003)",15623,1156,10,8831,4542,334,376,143,231
"Empleador o patrono (004)",1050,54,,616,294,22,31,17,16
"Trabajador familiar no remunerado (005)",4195,291,15,2393,1353,62,46,25,10
"Trabajador del hogar (006)",529,43,,256,193,21,8,6,2
"Hombres (008)",28964,1708,22,15406,8681,653,1102,378,1014
"Empleado (009)",2822,19,,224,676,229,693,201,780
"Obrero (010)",8569,623,6,4987,2699,108,80,33,33
"Trabajador independiente (011)",13383,851,6,7800,3904,254,278,112,178
"Empleador o patrono (012)",951,45,,575,259,21,25,13,13
"Trabajador familiar no remunerado (013)",3202,168,10,1806,1124,41,25,19,9
"Trabajador del hogar (014)",37,2,,14,19,,1,,1
"Mujeres (016)",6605,673,11,2589,1612,304,719,158,539
"Empleado (017)",1903,31,1,191,336,174,581,110,479
"Obrero (018)",878,164,1,497,200,7,6,1,2
"Trabajador independiente (019)",2240,305,4,1031,638,80,98,31,53
"Empleador o patrono (020)",99,9,,41,35,1,6,4,3
"Trabajador familiar no remunerado (021)",993,123,5,587,229,21,21,6,1
"Trabajador del hogar (022)",492,41,,242,174,21,7,6,1
,,,,,,,,,
"URBANA (024)",16453,660,19,5743,5877,804,1507,456,1387
"Empleado (025)",4152,46,1,376,929,357,1048,267,1128
"Obrero (026)",3328,191,4,1558,1378,81,63,24,29
"Trabajador independiente (027)",6885,312,7,2892,2739,278,323,125,209
"Empleador o patrono (028)",476,14,,210,176,19,27,16,14
"Trabajador familiar no remunerado (029)",1153,64,7,491,481,48,38,19,5
"Trabajador del hogar (030)",459,33,,216,174,21,8,5,2
"Hombres (032)",11933,368,12,4302,4577,540,901,321,912
"Empleado (033)",2504,19,,199,614,213,572,176,711
"Obrero (034)",2962,137,3,1371,1267,76,57,23,28
"Trabajador independiente (035)",5288,169,3,2233,2197,204,230,96,156
"Empleador o patrono (036)",395,11,,178,143,18,21,12,12
"Trabajador familiar no remunerado (037)",753,31,6,310,339,29,20,14,4
"Trabajador del hogar (038)",31,1,,11,17,,1,,1
"Mujeres (040)",4520,292,7,1441,1300,264,606,135,475
"Empleado (041)",1648,27,1,177,315,144,476,91,417
"Obrero (042)",366,54,1,187,111,5,6,1,1
"Trabajador independiente (043)",1597,143,4,659,542,74,93,29,53
"Empleador o patrono (044)",81,3,,32,33,1,6,4,2
"Trabajador familiar no remunerado (045)",400,33,1,181,142,19,18,5,1
"Trabajador del hogar (046)",428,32,,205,157,21,7,5,1
,,,,,,,,,
"RURAL (048)",19116,1721,14,12252,4416,153,314,80,166
"Empleado (049)",573,4,,39,83,46,226,44,131
"Obrero (050)",6119,596,3,3926,1521,34,23,10,6
"Trabajador independiente (051)",8738,844,3,5939,1803,56,53,18,22
"Empleador o patrono (052)",574,40,,406,118,3,4,1,2
"Trabajador familiar no remunerado (053)",3042,227,8,1902,872,14,8,6,5
"Trabajador del hogar (054)",70,10,,40,19,,,1,
"Hombres (056)",17031,1340,10,11104,4104,113,201,57,102
"Empleado (057)",318,,,25,62,16,121,25,69
"Obrero (058)",5607,486,3,3616,1432,32,23,10,5
"Trabajador independiente (059)",8095,682,3,5567,1707,50,48,16,22
"Empleador o patrono (060)",556,34,,397,116,3,4,1,1
"Trabajador familiar no remunerado (061)",2449,137,4,1496,785,12,5,5,5
"Trabajador del hogar (062)",6,1,,3,2,,,,
"Mujeres (064)",2085,381,4,1148,312,40,113,23,64
"Empleado (065)",255,4,,14,21,30,105,19,62
"Obrero (066)",512,110,,310,89,2,,,1
"Trabajador independiente (067)",643,162,,372,96,6,5,2,
"Empleador o patrono (068)",18,6,,9,2,,,,1
"Trabajador familiar no remunerado (069)",593,90,4,406,87,2,3,1,
"Trabajador del hogar (070)",64,9,,37,17,,,1,
