"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YAROWILCA (000)",27200,8763,7064,4949,4384,2040
"Sin nivel (001)",3568,262,185,663,1398,1060
"Educación inicial (002)",515,482,16,17,,
"Primaria (003)",14555,6963,1872,2517,2312,891
"Secundaria (004)",7219,1056,4363,1240,490,70
"Superior no univ. incompleta (005)",274,,180,71,20,3
"Superior no univ. completa (006)",354,,103,170,73,8
"Superior univ. incompleta (007)",255,,191,48,15,1
"Superior univ. completa (008)",460,,154,223,76,7
"PEA (010)",9886,593,2817,2958,2516,1002
"Sin nivel (011)",1312,18,80,257,573,384
"Educación inicial (012)",25,9,8,8,,
"Primaria (013)",4667,455,804,1423,1419,566
"Secundaria (014)",3008,111,1643,843,365,46
"Superior no univ. incompleta (015)",114,,51,47,15,1
"Superior no univ. completa (016)",273,,66,142,61,4
"Superior univ. incompleta (017)",90,,39,37,14,
"Superior univ. completa (018)",397,,126,201,69,1
"Ocupada (020)",9610,586,2658,2895,2479,992
"Sin nivel (021)",1300,16,78,256,571,379
"Educación inicial (022)",25,9,8,8,,
"Primaria (023)",4577,450,777,1393,1396,561
"Secundaria (024)",2869,111,1537,821,354,46
"Superior no univ. incompleta (025)",110,,48,46,15,1
"Superior no univ. completa (026)",262,,59,138,61,4
"Superior univ. incompleta (027)",86,,35,37,14,
"Superior univ. completa (028)",381,,116,196,68,1
"Desocupada (030)",276,7,159,63,37,10
"Sin nivel (031)",12,2,2,1,2,5
